"id","name","nameDisplay","description","abv","ibu","availableId","glasswareId","srmId","styleId","isOrganic","year","labels__icon","labels__medium","labels__large","status","statusDisplay","servingTemperature","servingTemperatureDisplay","originalGravity","createDate","updateDate","available__id","available__name","available__description","glass__id","glass__name","glass__createDate","srm__id","srm__name","srm__hex","style__id","style__categoryId","style__category__id","style__category__name","style__category__createDate","style__name","style__shortName","style__description","style__ibuMin","style__ibuMax","style__abvMin","style__abvMax","style__srmMin","style__srmMax","style__ogMin","style__fgMin","style__fgMax","style__createDate","style__updateDate"
"cBLTUw","""18"" Imperial IPA 2","""18"" Imperial IPA 2","Hop Heads this one's for you!  Checking in with 143 IBU's this ale punches you in the mouth with extreme bitterness then rounds out with toffee flavors and finishes with a citrus aroma.  Made with tons of US 2 Row Barley to get this to ABV 11.1%.","11.1","","","5","33","43","N","","","","","verified","Verified","","","","2013-01-20 21:38:15","2016-02-10 14:59:59","","","","5","Pint","2012-01-03 02:41:33","33","33","520907","43","3","3","North American Origin Ales","2012-03-21 20:06:45","American-Style Imperial Stout","American Imperial Stout","Black in color, American-style imperial stouts typically have a high alcohol content. Generally characterized as very robust. The extremely rich malty flavor and aroma are balanced with assertive hopping and fruity-ester characteristics. Bitterness should be moderately high to very high and balanced with full sweet malt character. Roasted malt astringency and bitterness can be moderately perceived but should not overwhelm the overall character. Hop aroma is usually moderately-high to overwhelmingly hop-floral, -citrus or -herbal. Diacetyl (butterscotch) levels should be absent.","50","80","7","12","40","40","1.08","1.02","1.03","2012-03-21 20:06:46","2015-04-07 15:28:49"
"ZsQEJt","""633"" American Pale Ale","""633"" American Pale Ale","Our first beer has been aptly named ""633"" after the Regions telephone exchange for starters.  ""If I could call a beer home, this would be the one."" ~ Win    It is a mildly hoppy pale ale using a 2 row, vienna, and munich malts for body,color, and head retention. It is hopped with American west coast hops later in the boil giving it a nice citrus hop flavor and very mild aroma. Slight addition of a roasted caramel malt gives ""633"" it's signature 'sunset over the harbor glow'.","6.33","25","1","","","25","N","","","","","verified","Verified","","","","2015-04-20 21:43:59","2015-04-20 21:43:59","1","Year Round","Available year round as a staple beer.","","","","","","","25","3","3","North American Origin Ales","2012-03-21 20:06:45","American-Style Pale Ale","American Pale","American pale ales range from deep golden to copper in color. The style is characterized by fruity, floral and citrus-like American-variety hop character producing medium to medium-high hop bitterness, flavor, and aroma. Note that the ""traditional"" style of this beer has its origins with certain floral, fruity, citrus-like, piney, resinous, or sulfur-like American hop varietals. One or more of these hop characters is the perceived end, but the perceived hop characters may be a result of the skillful use of hops of other national origins. American pale ales have medium body and low to medium maltiness. Low caramel character is allowable. Fruity-ester flavor and aroma should be moderate to strong. Diacetyl should be absent or present at very low levels. Chill haze is allowable at cold temperatures.","30","42","4.5","5.6","6","14","1.044","1.008","1.014","2012-03-21 20:06:45","2015-04-07 15:25:18"
"tmEthz","""Admiral"" Stache","""Admiral"" Stache (2012)","Milwaukee Brewing Co’s take on a classic European style. Baltic Porters are the stronger lager fermented cousin of the classic London Porter. The higher strength and cold fermentation help to create a smooth, less fruity porter, rich in roasted malt flavors and aromas. The “Admiral” Stache has a deep brown hue with a light caramel head. Toffee and milk chocolate dominate the flavor with subtle hints of dried fruit. One month of aging in Bourbon Barrels imparted a layer of vanilla and oak.    We first developed this beer in 2007. Our first attempted batch of beer at the 2nd street location was a Baltic Porter. What we ended up with became known as “Shake Down Nut Brown”. You can guess what went wrong from there… But, so many things right! Every year that has gone by, the beer has gotten a little bit stronger, in flavor and alcohol.    We use a black malt for the dark rich color and an extra special malt for the dried fruit flavors. Baltic Porters are fermented cold with a lager yeast. That long slow maturation creates a smooth flavor profile. The anticipation of the bourbon barrel aging it the most exciting part of this brew process. We want that oak character with hints of bourbon, we use 3rd run barrels for this result. Each batch has been slightly different from the last.","7","23","4","5","37","104","N","2012","https://s3.amazonaws.com/brewerydbapi/beer/tmEthz/upload_3Jl1St-icon.png","https://s3.amazonaws.com/brewerydbapi/beer/tmEthz/upload_3Jl1St-medium.png","https://s3.amazonaws.com/brewerydbapi/beer/tmEthz/upload_3Jl1St-large.png","verified","Verified","","","1.071","2012-09-09 13:35:27","2015-12-16 18:47:43","4","Seasonal","Available at the same time of year, every year.","5","Pint","2012-01-03 02:41:33","37","37","3F0708","104","9","9","Other Lager","2012-03-21 20:06:46","Baltic-Style Porter","Baltic Porter","A true smooth cold-fermented and cold lagered beer, brewed with lager yeast. Black to very deep ruby/garnet in color. Overall, Baltic Porters have a very smooth lagered character with distinctive caramelized sugars, licorice and chocolate-like character of roasted malts and dark sugars. Roasted dark malts should not contribute bitterness, or astringent roast character. A low degree of smokiness from malt may be evident. Debitterized roast malts are best used for this style. Because of its alcoholic strength, aroma may include gentle (low) lager fruitiness (berries, grapes, plums, not banana; ale-like fruitiness from warm temperature fermentation is not appropriate), complex alcohols, cocoa-like, roast malt (and sometimes coffee-like roast barley, yet not bitter). Hop aroma is very low, though a hint of floral or sweet hop aroma can complement aromatics and flavor without dominance. Baltic Porters are not hop bitter dominated and expressed as low to medium-low. Baltic porters range from having medium to full body complemented with a medium-low to medium level of malty sweetness. No butterscotch-like diacetyl or sweet corn-like dimethylsulfide (DMS) should be apparent in aroma or flavor.","35","40","7.5","9","40","40","1.072","1.016","1.022","2012-03-21 20:06:46","2015-04-07 15:41:46"
"b7SfHG","""Ah Me Joy"" Porter","""Ah Me Joy"" Porter","A robust porter style ale with a twist. This beer has moderate roastiness with a bitter finish, complemented by the sweetness of almond and coconut, which may remind you of a certain candy. Sit back with a pint and you'll say ""ah, me joy!""","5.4","51","","","40","19","N","","","","","verified","Verified","","","","2015-11-02 20:42:02","2015-11-02 20:42:03","","","","","","","40","40","36080A","19","1","1","British Origin Ales","2012-03-21 20:06:45","Robust Porter","Robust Porter","Robust porters are black in color and have a roast malt flavor, often reminiscent of cocoa, but no roast barley flavor. These porters have a sharp bitterness of black malt without a highly burnt/charcoal flavor. Caramel and other malt sweetness should be present and in harmony with other distinguishing porter characters. Robust porters range from medium to full in body and have a malty sweetness. Hop bitterness is medium to high, with hop aroma and flavor ranging from negligible to medium. Diacetyl is acceptable at very low levels. Fruity esters should be evident, balanced with roast malt and hop bitterness.","25","40","5","6.5","30","30","1.045","1.008","1.016","2012-03-21 20:06:45","2015-04-07 15:21:45"
"zcJMId","""Alternating Currant"" Sour","""Alternating Currant"" Sour","Black Currant Kettle Sour.","4.8","12","","","","40","N","","","","","verified","Verified","","","","2015-11-03 17:04:44","2015-11-03 17:04:45","","","","","","","","","","40","3","3","North American Origin Ales","2012-03-21 20:06:45","American-Style Sour Ale","Sour","American sour ales can be very light to black or take on the color of added fruits or other ingredients. There is no Brettanomyces character in this style of beer. Wood- and barrel-aged sour ales are classified elsewhere. If acidity is present it is usually in the form of lactic, acetic and other organic acids naturally developed with acidified malt in the mash or in fermentation by the use of various microorganisms including certain bacteria and yeasts. Acidic character can be a complex balance of several types of acid and characteristics of age. The evolution of natural acidity develops balanced complexity. Residual flavors that come from liquids previously aged in a barrel such as bourbon or sherry should not be present. Wood vessels may be used during the fermentation and aging process, but wood-derived flavors such as vanillin must not be present. In darker versions, roasted malt, caramel-like and chocolate-like characters should be subtle in both flavor and aroma. American sour may have evident full range of hop aroma and hop bitterness with a full range of body. Estery and fruity-ester characters are evident, sometimes moderate and sometimes intense, yet balanced. Diacetyl and sweet corn-like dimethylsulfide (DMS) should not be perceived. Chill haze, bacteria and yeast-induced haze are allowable at low to medium levels at any temperature. Fruited American-Style Sour Ales will exhibit fruit flavors in harmonious balance with other characters.","","","","","","","","","","2012-03-21 20:06:46","2015-04-07 15:28:32"
"UM8GL6","""B"" Street Pineapple Blonde","""B"" Street Pineapple Blonde","""B"" Street Pineapple Blonde is the lightest beer we have on tap.  Our Pineapple Blonde is a great choice for those just being introduced to craft beer.  For those more familiar with ales, our Blonde is a full-bodied ale with a subtle savory pineapple flavor.","4.6","","","","5","36","N","","","","","verified","Verified","","","","2013-04-28 18:27:33","2015-07-26 15:02:51","","","","","","","5","5","FBB123","36","3","3","North American Origin Ales","2012-03-21 20:06:45","Golden or Blonde Ale","Blonde","Golden or Blonde ales are straw to golden blonde in color. They have a crisp, dry palate, light to medium body, and light malt sweetness. Low to medium hop aroma may be present but does not dominate. Bitterness is low to medium. Fruity esters may be perceived but do not predominate. Diacetyl should not be perceived. Chill haze should be absent.","15","25","4","5","3","7","1.045","1.008","1.016","2012-03-21 20:06:46","2015-04-07 15:27:26"
"NIaY9C","""B.B. Rodriguez"" Double Brown","""B.B. Rodriguez"" Double Brown","Caramel. Walnut. Toast. Luxury.","8.5","30","","","","37","N","","","","","verified","Verified","","","","2015-11-03 17:02:33","2016-05-05 14:04:50","","","","","","","","","","37","3","3","North American Origin Ales","2012-03-21 20:06:45","American-Style Brown Ale","American Brown","American brown ales range from deep copper to brown in color. Roasted malt caramel-like and chocolate-like characters should be of medium intensity in both flavor and aroma. American brown ales have evident low to medium hop flavor and aroma, medium to high hop bitterness, and a medium body. Estery and fruity-ester characters should be subdued. Diacetyl should not be perceived. Chill haze is allowable at cold temperatures.","25","45","4","6.4","15","26","1.04","1.01","1.018","2012-03-21 20:06:46","2015-04-07 15:27:35"
"PBEXhV","""Bison Eye Rye"" Pale Ale | 2 of 4 Part Pale Ale Series","""Bison Eye Rye"" Pale Ale | 2 of 4 Part Pale Ale Series","The second in the rotating 4-part series of pale ales explores the adventurous boundaries of balancing various hops and unique malts. This particular brew was crafted with a healthy dose of toasted rye malt and a bodacious amount of New Zealand hops. Tropical aromas of melon and pineapple are balanced with a touch of sweet honey and a refreshing snap due to the mix of bittering hops and rye. Unfiltered, adventurous and crushable.","5.8","51","","","8","25","N","","","","","verified","Verified","","","","2016-05-11 15:05:00","2016-05-11 15:05:00","","","","","","","8","8","EA8F00","25","3","3","North American Origin Ales","2012-03-21 20:06:45","American-Style Pale Ale","American Pale","American pale ales range from deep golden to copper in color. The style is characterized by fruity, floral and citrus-like American-variety hop character producing medium to medium-high hop bitterness, flavor, and aroma. Note that the ""traditional"" style of this beer has its origins with certain floral, fruity, citrus-like, piney, resinous, or sulfur-like American hop varietals. One or more of these hop characters is the perceived end, but the perceived hop characters may be a result of the skillful use of hops of other national origins. American pale ales have medium body and low to medium maltiness. Low caramel character is allowable. Fruity-ester flavor and aroma should be moderate to strong. Diacetyl should be absent or present at very low levels. Chill haze is allowable at cold temperatures.","30","42","4.5","5.6","6","14","1.044","1.008","1.014","2012-03-21 20:06:45","2015-04-07 15:25:18"
"wRmmdv","""California Crude"" Black IPA","""California Crude"" Black IPA","Black ale that is aggressively hopped to balance the malt character. This beer is rich and robust with the additions of black malt for a creamy finish.","7.6","80","","","","41","N","","","","","verified","Verified","","","","2013-07-27 14:04:42","2015-03-18 18:14:44","","","","","","","","","","41","3","3","North American Origin Ales","2012-03-21 20:06:45","American-Style Black Ale","Black Ale","American-style Black Ales are very dark to black and perceived to have medium high to high hop bitterness, flavor and aroma with medium-high alcohol content, balanced with a medium body. Fruity, floral and herbal character from hops of all origins may contribute character. The style is further characterized by a balanced and moderate degree of caramel malt and dark roasted malt flavor and aroma. High astringency and high degree of burnt roast malt character should be absent.","50","70","6","7.5","35","35","1.056","1.012","1.018","2012-03-21 20:06:46","2015-04-07 15:28:36"
"EPYNpW","""C’est Noir"" Imperial Stout","""C’est Noir"" Imperial Stout","10.8% ABV 70 IBU’s A rich and creamy stout with loads of roasted barley and roasted oats infused with 70 IBU’s of hop bitterness to balance this really big beer. (SAY NOIR)","10.8","70","","","","16","N","","","","","verified","Verified","","","","2015-03-18 18:19:54","2015-03-18 18:19:55","","","","","","","","","","16","1","1","British Origin Ales","2012-03-21 20:06:45","British-Style Imperial Stout","British Imperial Stout","Dark copper to very dark brown, British-style imperial stouts typically have high alcohol content. The extremely rich malty flavor (often characterized as toffee-like or caramel-like) and aroma are balanced with medium hopping and high fruity-ester characteristics. Bitterness should be moderate and balanced with sweet malt character. The bitterness may be higher in the darker versions. Roasted malt astringency is very low or absent. Bitterness should not overwhelm the overall character. Hop aroma can be subtle to moderately hop-floral, -citrus or -herbal. Diacetyl (butterscotch) levels should be absent.","45","65","7","12","20","35","1.08","1.02","1.03","2012-03-21 20:06:45","2015-04-07 15:22:41"
