id,name,nameDisplay,description,abv,styleId,isOrganic,status,statusDisplay,createDate,updateDate,style/id,style/categoryId,style/category/id,style/category/name,style/category/createDate,style/name,style/shortName,style/description,style/ibuMin,style/ibuMax,style/abvMin,style/abvMax,style/srmMin,style/srmMax,style/ogMin,style/fgMin,style/fgMax,style/createDate,style/updateDate,availableId,foodPairings,available/id,available/name,available/description,ibu,glasswareId,srmId,labels/icon,labels/medium,labels/large,servingTemperature,servingTemperatureDisplay,originalGravity,glass/id,glass/name,glass/createDate,srm/id,srm/name,srm/hex,year
BZV3No,"#42, ESB","#42, ESB","This is our version of the classic English style of beer called Bitter, or Extra Special Bitter (ESB). DON’T PANIC! Compared to an IPA, “Bitter” is a bit of a misnomer, and this beer goes down easy. Brewed with Maris Otter heirloom malt, and Golding and Fuggle hops, this great session beer is full of flavor.",6.7,5,N,verified,Verified,2015-04-20 00:23:09,2015-04-20 00:23:09,5,1,1,British Origin Ales,2012-03-21 20:06:45,Extra Special Bitter,ESB,"Extra special bitter possesses medium to strong hop aroma, flavor, and bitterness. The residual malt and defining sweetness of this richly flavored, full-bodied bitter is more pronounced than in other styles of bitter. It is light amber to copper colored with medium to medium-high bitterness. Mild carbonation traditionally characterizes draft-cask versions, but in bottled versions, a slight increase in carbon dioxide content is acceptable. Fruity-ester character is acceptable in aroma and flavor. Diacetyl (butterscotch character) is acceptable and characteristic when at very low levels. The absence of diacetyl is also acceptable. Chill haze is allowable at cold temperatures. English or American hops may be used. (English and American hop character may be specified in subcategories.)",30,45,4.8,5.8,8,14,1.046,1.01,1.016,2012-03-21 20:06:45,2015-04-07 15:19:20,,,,,,,,,,,,,,,,,,,,,
6VZsVo,#429 Red IPA,#429 Red IPA,"Citrus and dark fruit characters come through in this well-balanced red ale, which features a caramel malt background to complement its slight bitterness.",7.1,30,N,verified,Verified,2014-12-23 13:20:57,2014-12-23 13:20:57,30,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style India Pale Ale,American IPA,"American-style India pale ales are perceived to have medium-high to intense hop bitterness, flavor and aroma with medium-high alcohol content. The style is further characterized by floral, fruity, citrus-like, piney, resinous, or sulfur-like American-variety hop character. Note that one or more of these American-variety hop characters is the perceived end, but the hop characters may be a result of the skillful use of hops of other national origins. The use of water with high mineral content results in a crisp, dry beer. This pale gold to deep copper-colored ale has a full, flowery hop aroma and may have a strong hop flavor (in addition to the perception of hop bitterness). India pale ales possess medium maltiness which contributes to a medium body. Fruity-ester flavors and aromas are moderate to very strong. Diacetyl can be absent or may be perceived at very low levels. Chill and/or hop haze is allowable at cold temperatures. (English and citrus-like American hops are considered enough of a distinction justifying separate American-style IPA and English-style IPA categories or subcategories. Hops of other origins may be used for bitterness or approximating traditional American or English character. See English-style India Pale Ale",50,70,6.3,7.5,6,14,1.06,1.012,1.018,2012-03-21 20:06:45,2015-04-07 15:26:37,2,"Curry, wings, blue cheese",2,Limited,Limited availability.,,,,,,,,,,,,,,,,
hB0QeO,#9,#9,"Not quite pale ale.  A beer cloaked in secrecy.  An ale whose mysterious unusual palate will swirl across your tongue and ask more questions than it answers.

A sort of dry, crisp, fruity, refreshing, not-quite pale ale.  #9 is really impossible to describe because there's never been anything else quite like it.  Our secret ingredient introduces a most unusual aroma which is balanced with residual sweetness.",5.1,25,N,verified,Verified,2012-01-03 02:42:36,2015-12-15 23:21:11,25,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style Pale Ale,American Pale,"American pale ales range from deep golden to copper in color. The style is characterized by fruity, floral and citrus-like American-variety hop character producing medium to medium-high hop bitterness, flavor, and aroma. Note that the ""traditional"" style of this beer has its origins with certain floral, fruity, citrus-like, piney, resinous, or sulfur-like American hop varietals. One or more of these hop characters is the perceived end, but the perceived hop characters may be a result of the skillful use of hops of other national origins. American pale ales have medium body and low to medium maltiness. Low caramel character is allowable. Fruity-ester flavor and aroma should be moderate to strong. Diacetyl should be absent or present at very low levels. Chill haze is allowable at cold temperatures.",30,42,4.5,5.6,6,14,1.044,1.008,1.014,2012-03-21 20:06:45,2015-04-07 15:25:18,1,,1,Year Round,Available year round as a staple beer.,20,5,9,https://s3.amazonaws.com/brewerydbapi/beer/hB0QeO/upload_tI37PC-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/hB0QeO/upload_tI37PC-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/hB0QeO/upload_tI37PC-large.png,cold,Cold - (4-7C/39-45F),1.048,5,Pint,2012-01-03 02:41:33,9,9,E58500,
D1B2iE,#98 Hop Box,#98 Hop Box,,6,112,N,verified,Verified,2016-04-22 18:32:59,2016-04-22 18:32:59,112,11,11,Hybrid/mixed Beer,2012-03-21 20:06:46,Light American Wheat Ale or Lager with Yeast,Wheat Ale,"This beer can be made using either ale or lager yeast. It can be brewed with 30 to 75 percent wheat malt, and hop rates may be low to medium. Hop characters may be light to moderate in bitterness, flavor and aroma. Fruity-estery aroma and flavor are typical but at low levels however, phenolic, clove-like characteristics should not be perceived. Color is usually straw to light amber, and the body should be light to medium in character. Diacetyl should not be perceived. Because this style is served with yeast the character should portray a full yeasty mouthfeel and appear hazy to very cloudy. Chill haze is also acceptable. Yeast flavor and aroma should be low to medium but not overpowering the balance and character of malt and hops. These beers are typically served with the yeast in the bottle, and are cloudy when served.",10,35,3.5,5.5,4,10,1.036,1.006,1.018,2012-03-21 20:06:46,2015-04-07 15:42:48,,,,,,,,,,,,,,,,,,,,,
rNLFdz,#amberale,#amberale,,5.7,32,Y,verified,Verified,2015-07-28 22:37:57,2015-07-28 22:37:57,32,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style Amber/Red Ale,Amber,"American amber/red ales range from light copper to light brown in color. They are characterized by American-variety hops used to produce the perception of medium hop bitterness, flavor, and medium aroma. Amber ales have medium-high to high maltiness with medium to low caramel character. They should have medium to medium-high body. The style may have low levels of fruityester flavor and aroma. Diacetyl can be either absent or barely perceived at very low levels. Chill haze is allowable at cold temperatures. Slight yeast haze is acceptable for bottle-conditioned products.",30,40,4.5,6,11,18,1.048,1.012,1.018,2012-03-21 20:06:45,2015-04-07 15:26:52,,,,,,,,,,,,,,,,,,,,,
8GpObe,#busted Nut Brown Ale,#busted Nut Brown Ale,A Nut Brown Ale with a biscuity/bready malt profile and a taste of caramel/chocolate specialty malts. Hops lend to the taste profile without overpowering.,5,12,N,verified,Verified,2015-03-11 23:10:37,2015-09-22 14:45:12,12,1,1,British Origin Ales,2012-03-21 20:06:45,English-Style Brown Ale,English Brown,"English brown ales range from copper to brown in color. They have medium body and range from dry to sweet maltiness with very little hop flavor or aroma. Roast malt tones may sometimes contribute to the flavor and aroma profile. Low to medium-low levels of fruity-ester flavors are appropriate. Diacetyl should be very low, if evident. Chill haze is allowable at cold temperatures.",15,25,4,5.5,13,25,1.04,1.008,1.014,2012-03-21 20:06:45,2015-04-07 15:20:51,,,,,,,,19,,,,,,,,,,19,19,A13700,
QWkRz9,#Hashtag Hops IPA,#Hashtag Hops IPA,"One of our four flagship beers. Clean, dry and aromatic!",7,30,N,verified,Verified,2015-03-22 16:53:15,2015-03-22 16:53:15,30,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style India Pale Ale,American IPA,"American-style India pale ales are perceived to have medium-high to intense hop bitterness, flavor and aroma with medium-high alcohol content. The style is further characterized by floral, fruity, citrus-like, piney, resinous, or sulfur-like American-variety hop character. Note that one or more of these American-variety hop characters is the perceived end, but the hop characters may be a result of the skillful use of hops of other national origins. The use of water with high mineral content results in a crisp, dry beer. This pale gold to deep copper-colored ale has a full, flowery hop aroma and may have a strong hop flavor (in addition to the perception of hop bitterness). India pale ales possess medium maltiness which contributes to a medium body. Fruity-ester flavors and aromas are moderate to very strong. Diacetyl can be absent or may be perceived at very low levels. Chill and/or hop haze is allowable at cold temperatures. (English and citrus-like American hops are considered enough of a distinction justifying separate American-style IPA and English-style IPA categories or subcategories. Hops of other origins may be used for bitterness or approximating traditional American or English character. See English-style India Pale Ale",50,70,6.3,7.5,6,14,1.06,1.012,1.018,2012-03-21 20:06:45,2015-04-07 15:26:37,1,,1,Year Round,Available year round as a staple beer.,71,,,,,,,,,,,,,,,
AO0nrE,#Mashtag 15,#Mashtag 15,,10,34,N,verified,Verified,2015-12-14 10:03:55,2015-12-17 19:53:39,34,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style Barley Wine Ale,American Barleywine,"American style barley wines range from amber to deep copper-garnet in color and have a full body and high residual malty sweetness. Complexity of alcohols and fruity-ester characters are often high and counterbalanced by assertive bitterness and extraordinary alcohol content. Hop aroma and flavor are at medium to very high levels. American type hops are often used but not necessary for this style. Very low levels of diacetyl may be acceptable. A caramel and/or toffee aroma and flavor are often part of the character. Characters indicating oxidation, such as vinous (sometimes sherry-like) aromas and/or flavors, are not generally acceptable in American-style Barley Wine Ale, however if a low level of age-induced oxidation character harmonizes and enhances the overall experience this can be regarded favorably. Chill haze is allowable at cold temperatures.",60,100,8.4,12,11,22,1.09,1.024,1.028,2012-03-21 20:06:46,2015-04-07 15:27:08,,,,,,,,,,,,,,,,,,,,,
zrbNet,#NOHOLDSIE Holdsie Da Deuce,#NOHOLDSIE Holdsie Da Deuce,Rye Tripel aged in red Wine Barrels,8.2,59,N,verified,Verified,2014-11-26 20:13:19,2015-12-17 19:00:42,59,5,5,Belgian And French Origin Ales,2012-03-21 20:06:46,Belgian-Style Tripel,Belgian Tripel,"Tripels are often characterized by a complex, sometimes mild spicy character. Clove-like phenolic flavor and aroma may be evident at extremely low levels. Yeast-generated  fruity esters, including banana, are also common, but not necessary. These pale/light-colored ales may finish sweet, though any sweet finish should be light. The beer is characteristically medium and clean in body with an equalizing hop/malt balance and a perception of medium to medium high hop bitterness. Traditional Belgian Tripels are often well attenuated. Brewing sugar may be used to lighten the perception of body. Its sweetness will come from very pale malts. There should not be character from any roasted or dark malts. Low hop flavor is acceptable. Alcohol strength and flavor should be perceived as evident. Head retention is dense and mousse-like. Chill haze is acceptable at low serving temperatures. Traditional Tripels are bottle conditioned, may exhibit slight yeast haze but the yeast should not be intentionally roused. Oxidative character if evident in aged Tripels should be mild and pleasant.",20,45,7,10,4,9,1.07,1.01,1.018,2012-03-21 20:06:46,2015-04-07 15:31:50,2,,2,Limited,Limited availability.,,,,https://s3.amazonaws.com/brewerydbapi/beer/zrbNet/upload_NO3CdZ-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/zrbNet/upload_NO3CdZ-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/zrbNet/upload_NO3CdZ-large.png,,,,,,,,,,
EV2zxl,#NOHOLDSIE Holdsie San,#NOHOLDSIE Holdsie San,Rye Tripel aged in Bourbon Barrels,8.2,59,N,verified,Verified,2014-11-26 20:15:35,2015-12-17 20:03:28,59,5,5,Belgian And French Origin Ales,2012-03-21 20:06:46,Belgian-Style Tripel,Belgian Tripel,"Tripels are often characterized by a complex, sometimes mild spicy character. Clove-like phenolic flavor and aroma may be evident at extremely low levels. Yeast-generated  fruity esters, including banana, are also common, but not necessary. These pale/light-colored ales may finish sweet, though any sweet finish should be light. The beer is characteristically medium and clean in body with an equalizing hop/malt balance and a perception of medium to medium high hop bitterness. Traditional Belgian Tripels are often well attenuated. Brewing sugar may be used to lighten the perception of body. Its sweetness will come from very pale malts. There should not be character from any roasted or dark malts. Low hop flavor is acceptable. Alcohol strength and flavor should be perceived as evident. Head retention is dense and mousse-like. Chill haze is acceptable at low serving temperatures. Traditional Tripels are bottle conditioned, may exhibit slight yeast haze but the yeast should not be intentionally roused. Oxidative character if evident in aged Tripels should be mild and pleasant.",20,45,7,10,4,9,1.07,1.01,1.018,2012-03-21 20:06:46,2015-04-07 15:31:50,2,,2,Limited,Limited availability.,,,,https://s3.amazonaws.com/brewerydbapi/beer/EV2zxl/upload_3mwAdV-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/EV2zxl/upload_3mwAdV-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/EV2zxl/upload_3mwAdV-large.png,,,,,,,,,,
