id,name,nameDisplay,description,abv,ibu,glasswareId,srmId,availableId,styleId,isOrganic,labels/icon,labels/medium,labels/large,status,statusDisplay,servingTemperature,servingTemperatureDisplay,createDate,updateDate,glass/id,glass/name,glass/createDate,srm/id,srm/name,srm/hex,available/id,available/name,available/description,style/id,style/categoryId,style/category/id,style/category/name,style/category/createDate,style/name,style/shortName,style/description,style/ibuMin,style/ibuMax,style/abvMin,style/abvMax,style/srmMin,style/srmMax,style/ogMin,style/fgMin,style/fgMax,style/createDate,style/updateDate,originalGravity,foodPairings
A78JSF,(512) THREE,(512) THREE,"For our 3rd Anniversary release we knew we had to pull out all the stops. Please welcome to the family… (512) THREE Belgian Style Tripel! Brewed in the spirit of the abbey ales of Belgium, (512) THREE pours a deep golden with a dense, creamy white head. The authentic Belgian yeast strain produces a complex, spicy palate that balances ripe fruity esters with bready malts and firm but subtle hops. Our house-made liquid invert sugar contributes an effervescent mouthfeel that finishes smooth and silky but enticingly dry, barely betraying its nearly 9.5% ABV/VOL!",9.5,22,5,10,2,59,N,https://s3.amazonaws.com/brewerydbapi/beer/A78JSF/upload_COtQzI-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/A78JSF/upload_COtQzI-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/A78JSF/upload_COtQzI-large.png,verified,Verified,cold,Cold - (4-7C/39-45F),2012-01-09 18:45:11,2015-12-16 15:12:37,5,Pint,2012-01-03 02:41:33,10,10,DE7C00,2,Limited,Limited availability.,59,5,5,Belgian And French Origin Ales,2012-03-21 20:06:46,Belgian-Style Tripel,Belgian Tripel,"Tripels are often characterized by a complex, sometimes mild spicy character. Clove-like phenolic flavor and aroma may be evident at extremely low levels. Yeast-generated  fruity esters, including banana, are also common, but not necessary. These pale/light-colored ales may finish sweet, though any sweet finish should be light. The beer is characteristically medium and clean in body with an equalizing hop/malt balance and a perception of medium to medium high hop bitterness. Traditional Belgian Tripels are often well attenuated. Brewing sugar may be used to lighten the perception of body. Its sweetness will come from very pale malts. There should not be character from any roasted or dark malts. Low hop flavor is acceptable. Alcohol strength and flavor should be perceived as evident. Head retention is dense and mousse-like. Chill haze is acceptable at low serving temperatures. Traditional Tripels are bottle conditioned, may exhibit slight yeast haze but the yeast should not be intentionally roused. Oxidative character if evident in aged Tripels should be mild and pleasant.",20,45,7,10,4,9,1.07,1.01,1.018,2012-03-21 20:06:46,2015-04-07 15:31:50,,
WKSYBT,(512) THREE (Cabernet Barrel Aged),(512) THREE (Cabernet Barrel Aged),,9.5,22,,,,59,N,,,,verified,Verified,,,2016-05-25 13:16:31,2016-05-25 13:16:31,,,,,,,,,,59,5,5,Belgian And French Origin Ales,2012-03-21 20:06:46,Belgian-Style Tripel,Belgian Tripel,"Tripels are often characterized by a complex, sometimes mild spicy character. Clove-like phenolic flavor and aroma may be evident at extremely low levels. Yeast-generated  fruity esters, including banana, are also common, but not necessary. These pale/light-colored ales may finish sweet, though any sweet finish should be light. The beer is characteristically medium and clean in body with an equalizing hop/malt balance and a perception of medium to medium high hop bitterness. Traditional Belgian Tripels are often well attenuated. Brewing sugar may be used to lighten the perception of body. Its sweetness will come from very pale malts. There should not be character from any roasted or dark malts. Low hop flavor is acceptable. Alcohol strength and flavor should be perceived as evident. Head retention is dense and mousse-like. Chill haze is acceptable at low serving temperatures. Traditional Tripels are bottle conditioned, may exhibit slight yeast haze but the yeast should not be intentionally roused. Oxidative character if evident in aged Tripels should be mild and pleasant.",20,45,7,10,4,9,1.07,1.01,1.018,2012-03-21 20:06:46,2015-04-07 15:31:50,,
X4KcGF,(512) TWO,(512) TWO,"We went all out on the hops for our 2nd Anniversary release, a Double IPA. Eight varieties of hops (including Glacier, Horizon, Nugget, and Columbus) spread out over 10 different additions (including whole-leaf Simcoe and Nugget in the grant, and 2 separate dry-hoppings!) add up to 99 IBUs of pure hoppy goodness . A solid malt backbone supports the smooth bitterness, complex flavors, and intoxicating aroma. And like all (512) ales, this one is made using over 80% USDA certified organic ingredients.",9,99,5,9,6,31,N,https://s3.amazonaws.com/brewerydbapi/beer/X4KcGF/upload_Zcoan4-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/X4KcGF/upload_Zcoan4-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/X4KcGF/upload_Zcoan4-large.png,verified,Verified,cold,Cold - (4-7C/39-45F),2012-01-03 02:42:36,2015-12-16 05:20:12,5,Pint,2012-01-03 02:41:33,9,9,E58500,6,Summer,Available during the summer months.,31,3,3,North American Origin Ales,2012-03-21 20:06:45,Imperial or Double India Pale Ale,Imperial IPA,"Imperial or Double India Pale Ales have intense hop bitterness, flavor and aroma. Alcohol content is medium-high to high and notably evident. They range from deep golden to medium copper in color. The style may use any variety of hops. Though the hop character is intense it's balanced with complex alcohol flavors, moderate to high fruity esters and medium to high malt character. Hop character should be fresh and lively and should not be harsh in quality. The use of large amounts of hops may cause a degree of appropriate hop haze. Imperial or Double India Pale Ales have medium-high to full body. Diacetyl should not be perceived. The intention of this style of beer is to exhibit the fresh and bright character of hops. Oxidative character and aged character should not be present.",65,100,7.5,10.5,5,13,1.075,1.012,1.02,2012-03-21 20:06:45,2015-04-07 15:26:46,,
USaRyl,(512) Whiskey Barrel Double Pecan Porter,(512) Whiskey Barrel Double Pecan Porter,"(512) Double Pecan Porter is a robust porter accented by locally grown roasted pecans and subtly enhanced by aging in recently emptied oak whiskey barrels. For the first ever bottling, only one 200L barrel was bottled. Notes of chocolate, coffee and pecan marry with the subtle flavors of vanilla and whiskey to make this a wonderful winter warmer worth sharing and savoring. We sincerely hope you enjoy every sip.",9.5,30,5,41,2,135,N,https://s3.amazonaws.com/brewerydbapi/beer/USaRyl/upload_1rXpCX-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/USaRyl/upload_1rXpCX-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/USaRyl/upload_1rXpCX-large.png,verified,Verified,cold,Cold - (4-7C/39-45F),2012-01-13 20:20:15,2015-12-16 15:01:21,5,Pint,2012-01-03 02:41:33,41,Over 40,000000,2,Limited,Limited availability.,135,11,11,Hybrid/mixed Beer,2012-03-21 20:06:46,Wood- and Barrel-Aged Strong Beer,BBL Aged Strong,"Any strong classic style or unique, experimental style of beer can be wood or barrel-aged for a period of time in a wooden barrel or in contact with wood. This beer is aged with the intention of imparting the particularly unique character of the wood and/or what has previously been in the barrel. New wood character can be characterized as a complex blend of vanillin and unique wood character but wood aged is not necessarily synonymous with imparting wood-flavors. Used sherry, rum, bourbon, scotch, port, wine and other barrels are often used, imparting complexity and uniqueness to beer. Ultimately a balance of flavor, aroma and mouthfeel are sought with the marriage of new beer with wood and/or barrel flavors. Primary character of the beer style may or may not be apparent. Sour wood-aged beer of any color is outlined in other categories. Beers in this style may or may not have Brettanomyces character. The brewer must explain the special nature of the beer to allow for accurate judging. Comments could include: type of wood used (new or old, oak or other wood type), type of barrel used (new, port/ whiskey/ wine/ sherry/ other), base beer style or achieved character. Beer entries not accompanied by this information will be at a disadvantage during judging.",,,,,,,,,,2012-03-21 20:06:46,2015-04-07 15:46:50,,
bXwskR,(512) White IPA,(512) White IPA,"Refreshingly light, this Belgian inspired India Pale Ale delivers hot weather satisfaction with pronounced hop character and flavor. Built like a Belgian wheat beer, but brewed, hopped and finished  like an IPA, two classic brewing cultures collide in this delightful creation that is both sessionable and amazingly flavorful.",5.3,55,5,4,6,30,Y,https://s3.amazonaws.com/brewerydbapi/beer/bXwskR/upload_0m1DZl-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/bXwskR/upload_0m1DZl-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/bXwskR/upload_0m1DZl-large.png,verified,Verified,cold,Cold - (4-7C/39-45F),2015-06-19 15:35:51,2015-12-18 03:47:26,5,Pint,2012-01-03 02:41:33,4,4,FFBF42,6,Summer,Available during the summer months.,30,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style India Pale Ale,American IPA,"American-style India pale ales are perceived to have medium-high to intense hop bitterness, flavor and aroma with medium-high alcohol content. The style is further characterized by floral, fruity, citrus-like, piney, resinous, or sulfur-like American-variety hop character. Note that one or more of these American-variety hop characters is the perceived end, but the hop characters may be a result of the skillful use of hops of other national origins. The use of water with high mineral content results in a crisp, dry beer. This pale gold to deep copper-colored ale has a full, flowery hop aroma and may have a strong hop flavor (in addition to the perception of hop bitterness). India pale ales possess medium maltiness which contributes to a medium body. Fruity-ester flavors and aromas are moderate to very strong. Diacetyl can be absent or may be perceived at very low levels. Chill and/or hop haze is allowable at cold temperatures. (English and citrus-like American hops are considered enough of a distinction justifying separate American-style IPA and English-style IPA categories or subcategories. Hops of other origins may be used for bitterness or approximating traditional American or English character. See English-style India Pale Ale",50,70,6.3,7.5,6,14,1.06,1.012,1.018,2012-03-21 20:06:45,2015-04-07 15:26:37,,
XnPVIo,(512) Wild Bear,(512) Wild Bear,"(512)’s first excursion into the world of so-called wild fermentation, Wild Bear’s origins lie in our Fall seasonal, BRUIN. After primary fermentation, we added Brettanomyces yeast and Pediococcus bacteria cultures, and aged the blend in new oak barrels for over 10 months. This combination of wild “bugs” and barrel aging gives (512) Wild Bear a complex and enticing aroma of tart cherries, oak, and a touch of barnyard “funkiness”, a crisp, tart flavor that will intensify with age, and an effervescent, oaky finish that leaves the palate clean. More recent versions are aged in one of our 45HL Foeder for 24 months.",8.5,9,8,,4,125,N,https://s3.amazonaws.com/brewerydbapi/beer/XnPVIo/upload_XCxTBJ-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/XnPVIo/upload_XCxTBJ-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/XnPVIo/upload_XCxTBJ-large.png,verified,Verified,cold,Cold - (4-7C/39-45F),2012-01-09 18:44:37,2015-12-16 14:31:48,8,Tulip,2012-01-03 02:41:33,,,,4,Seasonal,"Available at the same time of year, every year.",125,11,11,Hybrid/mixed Beer,2012-03-21 20:06:46,Specialty Beer,Specialty,"These beers are brewed using unusual fermentable sugars, grains and starches that contribute to alcohol content other than, or in addition to, malted barley. Nuts generally have some degree of fermentables, thus beers brewed with nuts would appropriately be entered in this category. The distinctive characters of these special ingredients should be evident either in the aroma, flavor or overall balance of the beer, but not necessarily in overpowering quantities. For example, maple syrup or potatoes would be considered unusual. Rice, corn, or wheat are not considered unusual. Special ingredients must be listed when competing. A statement by the brewer explaining the special nature of the beer, ingredient(s) and achieved character is essential in order for fair assessment in competitions. If this beer is a classic style with some specialty ingredient(s), the brewer should also specify the classic style. Guidelines for competing: Spiced beers using unusual fermentables should be entered in the experimental category. Fruit beers using unusual fermentables should be entered in the fruit beer category.",,100,2.5,25,1,100,1.03,1.006,1.03,2012-03-21 20:06:46,2015-04-07 15:44:53,,
QLp4mV,(512) Wit,(512) Wit,"Made in the style of the Belgian wheat beers that are so refreshing, (512) Wit is a hazy ale spiced with coriander and domestic grapefruit peel. 50% US Organic 2-row malted barley and 50% US unmalted wheat and oats make this a light, crisp ale well suited for any occasion.",5.1,10,5,5,1,65,N,https://s3.amazonaws.com/brewerydbapi/beer/QLp4mV/upload_FfMhAC-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/QLp4mV/upload_FfMhAC-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/QLp4mV/upload_FfMhAC-large.png,verified,Verified,cold,Cold - (4-7C/39-45F),2012-01-03 02:42:36,2015-12-16 04:38:26,5,Pint,2012-01-03 02:41:33,5,5,FBB123,1,Year Round,Available year round as a staple beer.,65,5,5,Belgian And French Origin Ales,2012-03-21 20:06:46,Belgian-Style White (or Wit) / Belgian-Style Wheat,Witbier,Belgian white ales are very pale in color and are brewed using unmalted wheat and malted barley and are spiced with coriander and orange peel. Coriander and light orange peel aroma should be perceived as such or as an unidentified spiciness. Phenolic spiciness and yeast flavors may be evident at mild levels. These beers are traditionally bottle conditioned and served cloudy. An unfiltered starch and yeast haze should be part of the appearance. The low to medium body should have some degree of creaminess from wheat starch. The style is further characterized by the use of noble-type hops to achieve low hop bitterness and little to no apparent hop flavor. This beer has no diacetyl and a low to medium fruity-ester level. Mild acidity is appropriate.,10,17,4.8,5.2,2,4,1.044,1.006,1.01,2012-03-21 20:06:46,2015-04-07 15:32:30,,
jj8YRF,(860) India Pale Ale,(860) India Pale Ale,,,,,,,30,N,https://s3.amazonaws.com/brewerydbapi/beer/jj8YRF/upload_BwXlKY-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/jj8YRF/upload_BwXlKY-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/jj8YRF/upload_BwXlKY-large.png,verified,Verified,,,2013-09-15 19:48:52,2015-12-17 05:37:37,,,,,,,,,,30,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style India Pale Ale,American IPA,"American-style India pale ales are perceived to have medium-high to intense hop bitterness, flavor and aroma with medium-high alcohol content. The style is further characterized by floral, fruity, citrus-like, piney, resinous, or sulfur-like American-variety hop character. Note that one or more of these American-variety hop characters is the perceived end, but the hop characters may be a result of the skillful use of hops of other national origins. The use of water with high mineral content results in a crisp, dry beer. This pale gold to deep copper-colored ale has a full, flowery hop aroma and may have a strong hop flavor (in addition to the perception of hop bitterness). India pale ales possess medium maltiness which contributes to a medium body. Fruity-ester flavors and aromas are moderate to very strong. Diacetyl can be absent or may be perceived at very low levels. Chill and/or hop haze is allowable at cold temperatures. (English and citrus-like American hops are considered enough of a distinction justifying separate American-style IPA and English-style IPA categories or subcategories. Hops of other origins may be used for bitterness or approximating traditional American or English character. See English-style India Pale Ale",50,70,6.3,7.5,6,14,1.06,1.012,1.018,2012-03-21 20:06:45,2015-04-07 15:26:37,,
thTbY7,(904) Weissguy,(904) Weissguy,"A traditional Bavarian style Hefeweissen, notes of clove, orange and coriander along with a cloudy yeast character make this a summer favorite.",4.4,19,9,4,,48,N,https://s3.amazonaws.com/brewerydbapi/beer/thTbY7/upload_jxcOpY-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/thTbY7/upload_jxcOpY-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/thTbY7/upload_jxcOpY-large.png,verified,Verified,,,2012-02-17 13:08:40,2015-12-16 15:32:04,9,Weizen,2012-01-03 02:41:33,4,4,FFBF42,,,,48,4,4,German Origin Ales,2012-03-21 20:06:46,South German-Style Hefeweizen / Hefeweissbier,Hefeweizen,"The aroma and flavor of a Weissbier with yeast is decidedly fruity and phenolic. The phenolic characteristics are often described as clove-, nutmeg-like, mildly smoke-like or even vanilla-like. Banana-like esters should be present at low to medium-high levels. These beers are made with at least 50 percent malted wheat, and hop rates are quite low. Hop flavor and aroma are absent or present at very low levels. Weissbier is well attenuated and very highly carbonated and a medium to full bodied beer. The color is very pale to pale amber. Because yeast is present, the beer will have yeast flavor and a characteristically fuller mouthfeel and may be appropriately very cloudy. No diacetyl should be perceived.",10,15,4.9,5.5,3,9,1.047,1.008,1.016,2012-03-21 20:06:46,2015-04-07 15:29:27,,
bFaSi6,(906) Pale Ale,(906) Pale Ale,,4.9,46,,,,25,N,,,,verified,Verified,,,2015-03-30 19:21:50,2015-03-30 19:21:51,,,,,,,,,,25,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style Pale Ale,American Pale,"American pale ales range from deep golden to copper in color. The style is characterized by fruity, floral and citrus-like American-variety hop character producing medium to medium-high hop bitterness, flavor, and aroma. Note that the ""traditional"" style of this beer has its origins with certain floral, fruity, citrus-like, piney, resinous, or sulfur-like American hop varietals. One or more of these hop characters is the perceived end, but the perceived hop characters may be a result of the skillful use of hops of other national origins. American pale ales have medium body and low to medium maltiness. Low caramel character is allowable. Fruity-ester flavor and aroma should be moderate to strong. Diacetyl should be absent or present at very low levels. Chill haze is allowable at cold temperatures.",30,42,4.5,5.6,6,14,1.044,1.008,1.014,2012-03-21 20:06:45,2015-04-07 15:25:18,,
