id,name,nameDisplay,description,abv,ibu,glasswareId,srmId,availableId,styleId,isOrganic,year,labels/icon,labels/medium,labels/large,status,statusDisplay,originalGravity,createDate,updateDate,glass/id,glass/name,glass/createDate,srm/id,srm/name,srm/hex,available/id,available/name,available/description,style/id,style/categoryId,style/category/id,style/category/name,style/category/createDate,style/name,style/shortName,style/description,style/ibuMin,style/ibuMax,style/abvMin,style/abvMax,style/srmMin,style/srmMax,style/ogMin,style/fgMin,style/fgMax,style/createDate,style/updateDate,servingTemperature,servingTemperatureDisplay
tmEthz,"""Admiral"" Stache","""Admiral"" Stache (2012)","Milwaukee Brewing Co’s take on a classic European style. Baltic Porters are the stronger lager fermented cousin of the classic London Porter. The higher strength and cold fermentation help to create a smooth, less fruity porter, rich in roasted malt flavors and aromas. The “Admiral” Stache has a deep brown hue with a light caramel head. Toffee and milk chocolate dominate the flavor with subtle hints of dried fruit. One month of aging in Bourbon Barrels imparted a layer of vanilla and oak.

We first developed this beer in 2007. Our first attempted batch of beer at the 2nd street location was a Baltic Porter. What we ended up with became known as “Shake Down Nut Brown”. You can guess what went wrong from there… But, so many things right! Every year that has gone by, the beer has gotten a little bit stronger, in flavor and alcohol.

We use a black malt for the dark rich color and an extra special malt for the dried fruit flavors. Baltic Porters are fermented cold with a lager yeast. That long slow maturation creates a smooth flavor profile. The anticipation of the bourbon barrel aging it the most exciting part of this brew process. We want that oak character with hints of bourbon, we use 3rd run barrels for this result. Each batch has been slightly different from the last.",7,23,5,37,4,104,N,2012,https://s3.amazonaws.com/brewerydbapi/beer/tmEthz/upload_3Jl1St-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/tmEthz/upload_3Jl1St-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/tmEthz/upload_3Jl1St-large.png,verified,Verified,1.071,2012-09-09 13:35:27,2015-12-16 18:47:43,5,Pint,2012-01-03 02:41:33,37,37,3F0708,4,Seasonal,"Available at the same time of year, every year.",104,9,9,Other Lager,2012-03-21 20:06:46,Baltic-Style Porter,Baltic Porter,"A true smooth cold-fermented and cold lagered beer, brewed with lager yeast. Black to very deep ruby/garnet in color. Overall, Baltic Porters have a very smooth lagered character with distinctive caramelized sugars, licorice and chocolate-like character of roasted malts and dark sugars. Roasted dark malts should not contribute bitterness, or astringent roast character. A low degree of smokiness from malt may be evident. Debitterized roast malts are best used for this style. Because of its alcoholic strength, aroma may include gentle (low) lager fruitiness (berries, grapes, plums, not banana; ale-like fruitiness from warm temperature fermentation is not appropriate), complex alcohols, cocoa-like, roast malt (and sometimes coffee-like roast barley, yet not bitter). Hop aroma is very low, though a hint of floral or sweet hop aroma can complement aromatics and flavor without dominance. Baltic Porters are not hop bitter dominated and expressed as low to medium-low. Baltic porters range from having medium to full body complemented with a medium-low to medium level of malty sweetness. No butterscotch-like diacetyl or sweet corn-like dimethylsulfide (DMS) should be apparent in aroma or flavor.",35,40,7.5,9,40,40,1.072,1.016,1.022,2012-03-21 20:06:46,2015-04-07 15:41:46,,
BVvaGP,#007,#007,,5.3,,,,,25,N,,https://s3.amazonaws.com/brewerydbapi/beer/BVvaGP/upload_pPBiJL-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/BVvaGP/upload_pPBiJL-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/BVvaGP/upload_pPBiJL-large.png,verified,Verified,,2015-02-11 12:28:07,2015-12-17 22:25:13,,,,,,,,,,25,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style Pale Ale,American Pale,"American pale ales range from deep golden to copper in color. The style is characterized by fruity, floral and citrus-like American-variety hop character producing medium to medium-high hop bitterness, flavor, and aroma. Note that the ""traditional"" style of this beer has its origins with certain floral, fruity, citrus-like, piney, resinous, or sulfur-like American hop varietals. One or more of these hop characters is the perceived end, but the perceived hop characters may be a result of the skillful use of hops of other national origins. American pale ales have medium body and low to medium maltiness. Low caramel character is allowable. Fruity-ester flavor and aroma should be moderate to strong. Diacetyl should be absent or present at very low levels. Chill haze is allowable at cold temperatures.",30,42,4.5,5.6,6,14,1.044,1.008,1.014,2012-03-21 20:06:45,2015-04-07 15:25:18,,
WfTRD1,#1 Brown Brett Braggot,#1 Brown Brett Braggot,"This beer started its life as a brown ale that just wanted to be a bit more. Our farmer Rally, who picks up spent grains also happens to have a pretty thriving bee business. He transports his hives from state to state pollinating large crops for farms as far south as Georgia peach orchards and up north to Maine for Blueberry fields. Having just returned from a blueberry pollination in Maine and looking to sell off some of his honey we jumped on close to 200 lbs of this liquid gold and added it to the brown ale during secondary fermentation. Also added to the Disco funk tank was a blend of yeast, one a Belgian Saison Yeast and the other, our buddy Brettanomyces (aka Brett). This wild yeast strain adds that slight Belgian Funk to our tank and get’s the disco party started.",6,18,,,,147,N,,https://s3.amazonaws.com/brewerydbapi/beer/WfTRD1/upload_pvShMp-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/WfTRD1/upload_pvShMp-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/WfTRD1/upload_pvShMp-large.png,verified,Verified,,2015-03-29 15:12:57,2015-12-17 23:07:31,,,,,,,,,,147,12,12,"Mead, Cider, & Perry",2012-03-21 20:06:46,Braggot,Braggot,"A harmonious blend of mead and beer, with the distinctive characteristics of both. A wide range of results are possible, depending on the base style of beer, variety of honey and overall sweetness and strength. Beer flavors tend to somewhat mask typical honey flavors found in other meads.",,,,,,,,,,2012-03-21 20:06:46,2015-04-07 15:48:30,,
uLkd3a,#2 Brett Golden Sour,#2 Brett Golden Sour,This beer had a long weekend in our brew kettle allowing beer bugs (Pediococcus and Latcobacillus) to get down get down and do their sour thang. While yeast strains eat sugar and produce alcohol beer bugs eat sugar and produce acids. This gives sour beers their puckering power. After letting the bugs play in the sweet wort pool we boil the beer and add a touch of earthy hops. Disco Pig #2 Brett Golden Sour is 100% Brett fermented to replicate as closely as possible what a traditional Belgian wild fermented sour beer should be!,6.5,9,,,,36,N,,https://s3.amazonaws.com/brewerydbapi/beer/uLkd3a/upload_dag3lM-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/uLkd3a/upload_dag3lM-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/uLkd3a/upload_dag3lM-large.png,verified,Verified,,2015-03-29 15:10:51,2015-12-18 00:22:07,,,,,,,,,,36,3,3,North American Origin Ales,2012-03-21 20:06:45,Golden or Blonde Ale,Blonde,"Golden or Blonde ales are straw to golden blonde in color. They have a crisp, dry palate, light to medium body, and light malt sweetness. Low to medium hop aroma may be present but does not dominate. Bitterness is low to medium. Fruity esters may be perceived but do not predominate. Diacetyl should not be perceived. Chill haze should be absent.",15,25,4,5,3,7,1.045,1.008,1.016,2012-03-21 20:06:46,2015-04-07 15:27:26,,
hB0QeO,#9,#9,"Not quite pale ale.  A beer cloaked in secrecy.  An ale whose mysterious unusual palate will swirl across your tongue and ask more questions than it answers.

A sort of dry, crisp, fruity, refreshing, not-quite pale ale.  #9 is really impossible to describe because there's never been anything else quite like it.  Our secret ingredient introduces a most unusual aroma which is balanced with residual sweetness.",5.1,20,5,9,1,25,N,,https://s3.amazonaws.com/brewerydbapi/beer/hB0QeO/upload_tI37PC-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/hB0QeO/upload_tI37PC-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/hB0QeO/upload_tI37PC-large.png,verified,Verified,1.048,2012-01-03 02:42:36,2015-12-15 23:21:11,5,Pint,2012-01-03 02:41:33,9,9,E58500,1,Year Round,Available year round as a staple beer.,25,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style Pale Ale,American Pale,"American pale ales range from deep golden to copper in color. The style is characterized by fruity, floral and citrus-like American-variety hop character producing medium to medium-high hop bitterness, flavor, and aroma. Note that the ""traditional"" style of this beer has its origins with certain floral, fruity, citrus-like, piney, resinous, or sulfur-like American hop varietals. One or more of these hop characters is the perceived end, but the perceived hop characters may be a result of the skillful use of hops of other national origins. American pale ales have medium body and low to medium maltiness. Low caramel character is allowable. Fruity-ester flavor and aroma should be moderate to strong. Diacetyl should be absent or present at very low levels. Chill haze is allowable at cold temperatures.",30,42,4.5,5.6,6,14,1.044,1.008,1.014,2012-03-21 20:06:45,2015-04-07 15:25:18,cold,Cold - (4-7C/39-45F)
zrbNet,#NOHOLDSIE Holdsie Da Deuce,#NOHOLDSIE Holdsie Da Deuce,Rye Tripel aged in red Wine Barrels,8.2,,,,2,59,N,,https://s3.amazonaws.com/brewerydbapi/beer/zrbNet/upload_NO3CdZ-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/zrbNet/upload_NO3CdZ-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/zrbNet/upload_NO3CdZ-large.png,verified,Verified,,2014-11-26 20:13:19,2015-12-17 19:00:42,,,,,,,2,Limited,Limited availability.,59,5,5,Belgian And French Origin Ales,2012-03-21 20:06:46,Belgian-Style Tripel,Belgian Tripel,"Tripels are often characterized by a complex, sometimes mild spicy character. Clove-like phenolic flavor and aroma may be evident at extremely low levels. Yeast-generated  fruity esters, including banana, are also common, but not necessary. These pale/light-colored ales may finish sweet, though any sweet finish should be light. The beer is characteristically medium and clean in body with an equalizing hop/malt balance and a perception of medium to medium high hop bitterness. Traditional Belgian Tripels are often well attenuated. Brewing sugar may be used to lighten the perception of body. Its sweetness will come from very pale malts. There should not be character from any roasted or dark malts. Low hop flavor is acceptable. Alcohol strength and flavor should be perceived as evident. Head retention is dense and mousse-like. Chill haze is acceptable at low serving temperatures. Traditional Tripels are bottle conditioned, may exhibit slight yeast haze but the yeast should not be intentionally roused. Oxidative character if evident in aged Tripels should be mild and pleasant.",20,45,7,10,4,9,1.07,1.01,1.018,2012-03-21 20:06:46,2015-04-07 15:31:50,,
EV2zxl,#NOHOLDSIE Holdsie San,#NOHOLDSIE Holdsie San,Rye Tripel aged in Bourbon Barrels,8.2,,,,2,59,N,,https://s3.amazonaws.com/brewerydbapi/beer/EV2zxl/upload_3mwAdV-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/EV2zxl/upload_3mwAdV-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/EV2zxl/upload_3mwAdV-large.png,verified,Verified,,2014-11-26 20:15:35,2015-12-17 20:03:28,,,,,,,2,Limited,Limited availability.,59,5,5,Belgian And French Origin Ales,2012-03-21 20:06:46,Belgian-Style Tripel,Belgian Tripel,"Tripels are often characterized by a complex, sometimes mild spicy character. Clove-like phenolic flavor and aroma may be evident at extremely low levels. Yeast-generated  fruity esters, including banana, are also common, but not necessary. These pale/light-colored ales may finish sweet, though any sweet finish should be light. The beer is characteristically medium and clean in body with an equalizing hop/malt balance and a perception of medium to medium high hop bitterness. Traditional Belgian Tripels are often well attenuated. Brewing sugar may be used to lighten the perception of body. Its sweetness will come from very pale malts. There should not be character from any roasted or dark malts. Low hop flavor is acceptable. Alcohol strength and flavor should be perceived as evident. Head retention is dense and mousse-like. Chill haze is acceptable at low serving temperatures. Traditional Tripels are bottle conditioned, may exhibit slight yeast haze but the yeast should not be intentionally roused. Oxidative character if evident in aged Tripels should be mild and pleasant.",20,45,7,10,4,9,1.07,1.01,1.018,2012-03-21 20:06:46,2015-04-07 15:31:50,,
cBKBoK,#‎NOHOLDSIE‬ Holdsie Uno,#‎NOHOLDSIE‬ Holdsie Uno,Rye Tripel aged in White Wine Barrels,8.2,,,,2,59,N,,https://s3.amazonaws.com/brewerydbapi/beer/cBKBoK/upload_TEDqCp-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/cBKBoK/upload_TEDqCp-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/cBKBoK/upload_TEDqCp-large.png,verified,Verified,,2014-11-26 20:14:57,2015-12-17 20:03:28,,,,,,,2,Limited,Limited availability.,59,5,5,Belgian And French Origin Ales,2012-03-21 20:06:46,Belgian-Style Tripel,Belgian Tripel,"Tripels are often characterized by a complex, sometimes mild spicy character. Clove-like phenolic flavor and aroma may be evident at extremely low levels. Yeast-generated  fruity esters, including banana, are also common, but not necessary. These pale/light-colored ales may finish sweet, though any sweet finish should be light. The beer is characteristically medium and clean in body with an equalizing hop/malt balance and a perception of medium to medium high hop bitterness. Traditional Belgian Tripels are often well attenuated. Brewing sugar may be used to lighten the perception of body. Its sweetness will come from very pale malts. There should not be character from any roasted or dark malts. Low hop flavor is acceptable. Alcohol strength and flavor should be perceived as evident. Head retention is dense and mousse-like. Chill haze is acceptable at low serving temperatures. Traditional Tripels are bottle conditioned, may exhibit slight yeast haze but the yeast should not be intentionally roused. Oxidative character if evident in aged Tripels should be mild and pleasant.",20,45,7,10,4,9,1.07,1.01,1.018,2012-03-21 20:06:46,2015-04-07 15:31:50,,
ZQzj1u,'Lil Griz,'Lil Griz,"Deliberately blazing our own trail, we brewed this barrel aged brown ale believing there is room for a new craft beer category: “Sessionable Bourbon Barrel Aged Beers”. Weighing in at 6.8% ABV ( Alc. 6.8% by Vol. ), the rich chocolate notes & creaminess of the flaked oats easily justify this beer bringing home a FoBAB medal this year. We hope you enjoy the ‘Lil Griz.",6.8,34,,,,37,N,,https://s3.amazonaws.com/brewerydbapi/beer/ZQzj1u/upload_0hoJ8r-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/ZQzj1u/upload_0hoJ8r-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/ZQzj1u/upload_0hoJ8r-large.png,verified,Verified,,2015-02-25 14:30:03,2015-12-17 22:55:35,,,,,,,,,,37,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style Brown Ale,American Brown,"American brown ales range from deep copper to brown in color. Roasted malt caramel-like and chocolate-like characters should be of medium intensity in both flavor and aroma. American brown ales have evident low to medium hop flavor and aroma, medium to high hop bitterness, and a medium body. Estery and fruity-ester characters should be subdued. Diacetyl should not be perceived. Chill haze is allowable at cold temperatures.",25,45,4,6.4,15,26,1.04,1.01,1.018,2012-03-21 20:06:46,2015-04-07 15:27:35,,
7WoDkH,'Merican,'Merican,,5.8,,5,,,32,N,,https://s3.amazonaws.com/brewerydbapi/beer/7WoDkH/upload_JsZsYY-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/7WoDkH/upload_JsZsYY-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/7WoDkH/upload_JsZsYY-large.png,verified,Verified,,2013-11-01 12:36:31,2015-12-17 06:41:04,5,Pint,2012-01-03 02:41:33,,,,,,,32,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style Amber/Red Ale,Amber,"American amber/red ales range from light copper to light brown in color. They are characterized by American-variety hops used to produce the perception of medium hop bitterness, flavor, and medium aroma. Amber ales have medium-high to high maltiness with medium to low caramel character. They should have medium to medium-high body. The style may have low levels of fruityester flavor and aroma. Diacetyl can be either absent or barely perceived at very low levels. Chill haze is allowable at cold temperatures. Slight yeast haze is acceptable for bottle-conditioned products.",30,40,4.5,6,11,18,1.048,1.012,1.018,2012-03-21 20:06:45,2015-04-07 15:26:52,,
