id,name,nameDisplay,description,abv,ibu,glasswareId,availableId,styleId,isOrganic,labels/icon,labels/medium,labels/large,status,statusDisplay,createDate,updateDate,glass/id,glass/name,glass/createDate,available/id,available/name,available/description,style/id,style/categoryId,style/category/id,style/category/name,style/category/createDate,style/name,style/shortName,style/description,style/ibuMin,style/ibuMax,style/abvMin,style/abvMax,style/srmMin,style/srmMax,style/ogMin,style/fgMin,style/fgMax,style/createDate,style/updateDate,srmId,srm/id,srm/name,srm/hex,servingTemperature,servingTemperatureDisplay,originalGravity,foodPairings,beerVariationId,year,beerVariation/id,beerVariation/name,beerVariation/nameDisplay,beerVariation/description,beerVariation/abv,beerVariation/glasswareId,beerVariation/availableId,beerVariation/styleId,beerVariation/isOrganic,beerVariation/year,beerVariation/status,beerVariation/statusDisplay,beerVariation/createDate,beerVariation/updateDate,beerVariation/glass/id,beerVariation/glass/name,beerVariation/glass/createDate,beerVariation/available/id,beerVariation/available/name,beerVariation/available/description,beerVariation/style/id,beerVariation/style/categoryId,beerVariation/style/category/id,beerVariation/style/category/name,beerVariation/style/category/createDate,beerVariation/style/name,beerVariation/style/shortName,beerVariation/style/description,beerVariation/style/ibuMin,beerVariation/style/ibuMax,beerVariation/style/abvMin,beerVariation/style/abvMax,beerVariation/style/srmMin,beerVariation/style/srmMax,beerVariation/style/ogMin,beerVariation/style/fgMin,beerVariation/style/fgMax,beerVariation/style/createDate,beerVariation/style/updateDate
Ml1FV3,10 Squared,10 Squared,"The Mighty Fish Brewers first produced Ten Squared Anniversary Ale to celebrate Fish Brewing Company's tenth anniversary. The ale was so good and the response to it so overwhelmingly positive that it has become the crown jewel of REEL ALEs.

Ten different hops: Horizon, Chinook, Columbus, Willamette, Tradition, Northern Brewer, Santiam, Tettnanger, Cascade and Golding, in the order of their use -- give Ten Squared a unique hop character which has to be tasted to be believed.

Even with 100 IBUs, this brew sports a strong malt backbone. Two-row Pale, Caramel 40, Caramel 75, Special B and Aromatic malts impart remarkable balance for such a hop monster. This is smooth ale with surprising similarities to ten year old malt whiskey.",10,100,5,4,34,N,https://s3.amazonaws.com/brewerydbapi/beer/Ml1FV3/upload_FAbrWH-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/Ml1FV3/upload_FAbrWH-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/Ml1FV3/upload_FAbrWH-large.png,verified,Verified,2012-01-03 02:42:36,2015-12-15 23:35:33,5,Pint,2012-01-03 02:41:33,4,Seasonal,"Available at the same time of year, every year.",34,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style Barley Wine Ale,American Barleywine,"American style barley wines range from amber to deep copper-garnet in color and have a full body and high residual malty sweetness. Complexity of alcohols and fruity-ester characters are often high and counterbalanced by assertive bitterness and extraordinary alcohol content. Hop aroma and flavor are at medium to very high levels. American type hops are often used but not necessary for this style. Very low levels of diacetyl may be acceptable. A caramel and/or toffee aroma and flavor are often part of the character. Characters indicating oxidation, such as vinous (sometimes sherry-like) aromas and/or flavors, are not generally acceptable in American-style Barley Wine Ale, however if a low level of age-induced oxidation character harmonizes and enhances the overall experience this can be regarded favorably. Chill haze is allowable at cold temperatures.",60,100,8.4,12,11,22,1.09,1.024,1.028,2012-03-21 20:06:46,2015-04-07 15:27:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
y6LrZ3,10 Ton,10 Ton,"Creamy with hints of coffee, chocolate and vanilla. A faintly nutty, bitter finish.",7,30,5,1,21,N,https://s3.amazonaws.com/brewerydbapi/beer/y6LrZ3/upload_ac1Xgi-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/y6LrZ3/upload_ac1Xgi-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/y6LrZ3/upload_ac1Xgi-large.png,verified,Verified,2014-09-10 02:24:31,2015-12-17 16:43:51,5,Pint,2012-01-03 02:41:33,1,Year Round,Available year round as a staple beer.,21,1,1,British Origin Ales,2012-03-21 20:06:45,Oatmeal Stout,Oatmeal Stout,"Oatmeal stouts include oatmeal in their grist, resulting in a pleasant, full flavor and a smooth profile that is rich without being grainy. A roasted malt character which is caramel-like and chocolate-like should be evident - smooth and not bitter. Coffee-like roasted barley and roasted malt aromas (chocolate and nut-like) are prominent. Color is dark brown to black. Bitterness is moderate, not high. Hop flavor and aroma are optional but should not overpower the overall balance if present. This is a medium- to full- bodied beer, with minimal fruity esters. Diacetyl should be absent or at extremely low levels. Original gravity range and alcohol levels are indicative of English tradition of oatmeal stout.",20,40,3.8,6,20,20,1.038,1.008,1.02,2012-03-21 20:06:45,2015-04-07 15:22:53,34,34,34,4C0505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dAuCwE,10-10-10,10-10-10,"Our limited release Imperial IPA is all about excess. We use massive quantities of the finest European barley malts and American hops to produce a wonderfully malty beer with outrageous hop expression. From the initial aroma, through the balanced finish and the lingering hop flavors that coat your palette, 10-10-10 is truly fertilizer for the hop lover's soul

Ingredients:
Maris Otter and Munich Malts
Amarillo, Cascade, Centennial, Columbus, Northern Brewer, and Simcoe Hops",10,110,5,2,31,N,https://s3.amazonaws.com/brewerydbapi/beer/dAuCwE/upload_DZ6kCP-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/dAuCwE/upload_DZ6kCP-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/dAuCwE/upload_DZ6kCP-large.png,verified,Verified,2012-01-03 02:42:36,2015-12-16 12:48:01,5,Pint,2012-01-03 02:41:33,2,Limited,Limited availability.,31,3,3,North American Origin Ales,2012-03-21 20:06:45,Imperial or Double India Pale Ale,Imperial IPA,"Imperial or Double India Pale Ales have intense hop bitterness, flavor and aroma. Alcohol content is medium-high to high and notably evident. They range from deep golden to medium copper in color. The style may use any variety of hops. Though the hop character is intense it's balanced with complex alcohol flavors, moderate to high fruity esters and medium to high malt character. Hop character should be fresh and lively and should not be harsh in quality. The use of large amounts of hops may cause a degree of appropriate hop haze. Imperial or Double India Pale Ales have medium-high to full body. Diacetyl should not be perceived. The intention of this style of beer is to exhibit the fresh and bright character of hops. Oxidative character and aged character should not be present.",65,100,7.5,10.5,5,13,1.075,1.012,1.02,2012-03-21 20:06:45,2015-04-07 15:26:46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GedKyt,10-9 Bike Messenger Appreciation IPA,10-9 Bike Messenger Appreciation IPA,,10.9,,,,30,N,https://s3.amazonaws.com/brewerydbapi/beer/GedKyt/upload_sRCSlb-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/GedKyt/upload_sRCSlb-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/GedKyt/upload_sRCSlb-large.png,verified,Verified,2015-01-26 14:58:31,2015-12-17 20:35:30,,,,,,,30,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style India Pale Ale,American IPA,"American-style India pale ales are perceived to have medium-high to intense hop bitterness, flavor and aroma with medium-high alcohol content. The style is further characterized by floral, fruity, citrus-like, piney, resinous, or sulfur-like American-variety hop character. Note that one or more of these American-variety hop characters is the perceived end, but the hop characters may be a result of the skillful use of hops of other national origins. The use of water with high mineral content results in a crisp, dry beer. This pale gold to deep copper-colored ale has a full, flowery hop aroma and may have a strong hop flavor (in addition to the perception of hop bitterness). India pale ales possess medium maltiness which contributes to a medium body. Fruity-ester flavors and aromas are moderate to very strong. Diacetyl can be absent or may be perceived at very low levels. Chill and/or hop haze is allowable at cold temperatures. (English and citrus-like American hops are considered enough of a distinction justifying separate American-style IPA and English-style IPA categories or subcategories. Hops of other origins may be used for bitterness or approximating traditional American or English character. See English-style India Pale Ale",50,70,6.3,7.5,6,14,1.06,1.012,1.018,2012-03-21 20:06:45,2015-04-07 15:26:37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aDuu69,10-Day IPA,10-Day IPA,"10-­Day is a truly balanced Double IPA with a solid malt backbone that plays extremely well with the American citrus and spice hop profile. We upped the bitterness accordingly, and finished it off with massive flavor and aroma additions that will be sure to satisfy the most discerning hophead. The combination of caramel and honey malts, along with a variety of hops makes 10­-Day a pleasurable and complex DIPA. While not a true variation of our flagship 5-­Day IPA, 10-­Day is a nod to the double strength of the beer. At 50% more alcohol, and 150% more hops, this beer is 200% awesome.",9,,,2,31,N,https://s3.amazonaws.com/brewerydbapi/beer/aDuu69/upload_7kdHK5-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/aDuu69/upload_7kdHK5-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/aDuu69/upload_7kdHK5-large.png,verified,Verified,2013-11-17 01:35:39,2015-12-17 07:00:36,,,,2,Limited,Limited availability.,31,3,3,North American Origin Ales,2012-03-21 20:06:45,Imperial or Double India Pale Ale,Imperial IPA,"Imperial or Double India Pale Ales have intense hop bitterness, flavor and aroma. Alcohol content is medium-high to high and notably evident. They range from deep golden to medium copper in color. The style may use any variety of hops. Though the hop character is intense it's balanced with complex alcohol flavors, moderate to high fruity esters and medium to high malt character. Hop character should be fresh and lively and should not be harsh in quality. The use of large amounts of hops may cause a degree of appropriate hop haze. Imperial or Double India Pale Ales have medium-high to full body. Diacetyl should not be perceived. The intention of this style of beer is to exhibit the fresh and bright character of hops. Oxidative character and aged character should not be present.",65,100,7.5,10.5,5,13,1.075,1.012,1.02,2012-03-21 20:06:45,2015-04-07 15:26:46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RLLEqZ,10-Year IPA,10-Year IPA,"Specially brewed in celebration of our 10 year anniversary, this light-bodied white IPA is brewed with wheat and oats, generously hopped with Citra and Mosaic hops for a clean, floral, punchy hop finish.  Refreshing and irresistible!",6,,5,2,30,N,https://s3.amazonaws.com/brewerydbapi/beer/RLLEqZ/upload_JLW4sK-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/RLLEqZ/upload_JLW4sK-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/RLLEqZ/upload_JLW4sK-large.png,verified,Verified,2014-01-20 17:04:31,2015-12-17 08:44:58,5,Pint,2012-01-03 02:41:33,2,Limited,Limited availability.,30,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style India Pale Ale,American IPA,"American-style India pale ales are perceived to have medium-high to intense hop bitterness, flavor and aroma with medium-high alcohol content. The style is further characterized by floral, fruity, citrus-like, piney, resinous, or sulfur-like American-variety hop character. Note that one or more of these American-variety hop characters is the perceived end, but the hop characters may be a result of the skillful use of hops of other national origins. The use of water with high mineral content results in a crisp, dry beer. This pale gold to deep copper-colored ale has a full, flowery hop aroma and may have a strong hop flavor (in addition to the perception of hop bitterness). India pale ales possess medium maltiness which contributes to a medium body. Fruity-ester flavors and aromas are moderate to very strong. Diacetyl can be absent or may be perceived at very low levels. Chill and/or hop haze is allowable at cold temperatures. (English and citrus-like American hops are considered enough of a distinction justifying separate American-style IPA and English-style IPA categories or subcategories. Hops of other origins may be used for bitterness or approximating traditional American or English character. See English-style India Pale Ale",50,70,6.3,7.5,6,14,1.06,1.012,1.018,2012-03-21 20:06:45,2015-04-07 15:26:37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZaJLVD,10/6 English IPA,10/6 English IPA,"Hatter is crazy about time, and about finely crafted beer. The Rabbit Hole Brewing 10/6 English IPA features a prominent English hop character supported by a smooth, bready malt backbone. This Rabbit Hole Ale is crafted with the finest floor-malted Maris Otter winter barley and flavored with three different varieties of English hops. It is bold and flavorful without driving your palate completely insane. So whatever the time may be, it is always time for another 10/6, the IPA with refinement.",6.4,69,5,1,2,N,https://s3.amazonaws.com/brewerydbapi/beer/ZaJLVD/upload_dglAfU-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/ZaJLVD/upload_dglAfU-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/ZaJLVD/upload_dglAfU-large.png,verified,Verified,2014-07-28 20:58:48,2015-12-17 15:55:15,5,Pint,2012-01-03 02:41:33,1,Year Round,Available year round as a staple beer.,2,1,1,British Origin Ales,2012-03-21 20:06:45,English-Style India Pale Ale,English IPA,"Most traditional interpretations of English-style India pale ales are characterized by medium-high hop bitterness with a medium to medium-high alcohol content. Hops from a variety of origins may be used to contribute to a high hopping rate. Earthy and herbal English-variety hop character is the perceived end, but may be a result of the skillful use of hops of other national origins. The use of water with high mineral content results in a crisp, dry beer, sometimes with subtle and balanced character of sulfur compounds. This pale gold to deep copper-colored ale has a medium to high, flowery hop aroma and may have a medium to strong hop flavor (in addition to the hop bitterness). English-style India pale ales possess medium maltiness and body. Fruity-ester flavors and aromas are moderate to very strong. Diacetyl can be absent or may be perceived at very low levels. Chill haze is allowable at cold temperatures. Hops of other origins may be used for bitterness or approximating traditional English character.",35,63,5,7,6,14,1.05,1.012,1.018,2012-03-21 20:06:45,2015-04-07 15:18:33,10,10,10,DE7C00,cellar,Cellar - (12-14C/54-57F),1.064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bzcvG5,10/6th IPA,10/6th IPA,"Bold and refreshing, this IPA combines an abundance of hops with a smooth malt profile. It is however, uniquely brewed to be like no other because it is a subtle IPA, not an overpowering single note.",7.2,111,,,30,N,https://s3.amazonaws.com/brewerydbapi/beer/bzcvG5/upload_wz2YGb-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/bzcvG5/upload_wz2YGb-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/bzcvG5/upload_wz2YGb-large.png,verified,Verified,2015-04-06 16:30:05,2015-12-18 01:14:41,,,,,,,30,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style India Pale Ale,American IPA,"American-style India pale ales are perceived to have medium-high to intense hop bitterness, flavor and aroma with medium-high alcohol content. The style is further characterized by floral, fruity, citrus-like, piney, resinous, or sulfur-like American-variety hop character. Note that one or more of these American-variety hop characters is the perceived end, but the hop characters may be a result of the skillful use of hops of other national origins. The use of water with high mineral content results in a crisp, dry beer. This pale gold to deep copper-colored ale has a full, flowery hop aroma and may have a strong hop flavor (in addition to the perception of hop bitterness). India pale ales possess medium maltiness which contributes to a medium body. Fruity-ester flavors and aromas are moderate to very strong. Diacetyl can be absent or may be perceived at very low levels. Chill and/or hop haze is allowable at cold temperatures. (English and citrus-like American hops are considered enough of a distinction justifying separate American-style IPA and English-style IPA categories or subcategories. Hops of other origins may be used for bitterness or approximating traditional American or English character. See English-style India Pale Ale",50,70,6.3,7.5,6,14,1.06,1.012,1.018,2012-03-21 20:06:45,2015-04-07 15:26:37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C8c8j9,100 Barrel Series #38 - Dočesná Czech,100 Barrel Series #38 - Dočesná Czech,"Beer has inspired traditions and celebrations across the world. As brewers, there is one festival in particular that has intrigued us because it is devoted to a single beer ingredient: hops. The Dočesná hop festival celebrates the harvest of hops, grown in the area surrounding the Bohemian city of Zatec. The area has a long history as one of the world’s eminent hop growing regions.  This is commemorated annually with music, dancing, hop-picking competitions, and beer drinking.  An inspiration indeed for brewing a beer! 
 
This deep chestnut colored ale uses Sládek hops imported from the Zatec region. The Sladek hops provide a clean, slightly bitter but smooth finish. With a medium body, it is well balanced beer.  A great choice for celebrations.",6.1,35,5,2,125,N,https://s3.amazonaws.com/brewerydbapi/beer/C8c8j9/upload_6nVvCZ-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/C8c8j9/upload_6nVvCZ-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/C8c8j9/upload_6nVvCZ-large.png,verified,Verified,2012-01-03 02:43:05,2015-12-16 09:58:54,5,Pint,2012-01-03 02:41:33,2,Limited,Limited availability.,125,11,11,Hybrid/mixed Beer,2012-03-21 20:06:46,Specialty Beer,Specialty,"These beers are brewed using unusual fermentable sugars, grains and starches that contribute to alcohol content other than, or in addition to, malted barley. Nuts generally have some degree of fermentables, thus beers brewed with nuts would appropriately be entered in this category. The distinctive characters of these special ingredients should be evident either in the aroma, flavor or overall balance of the beer, but not necessarily in overpowering quantities. For example, maple syrup or potatoes would be considered unusual. Rice, corn, or wheat are not considered unusual. Special ingredients must be listed when competing. A statement by the brewer explaining the special nature of the beer, ingredient(s) and achieved character is essential in order for fair assessment in competitions. If this beer is a classic style with some specialty ingredient(s), the brewer should also specify the classic style. Guidelines for competing: Spiced beers using unusual fermentables should be entered in the experimental category. Fruit beers using unusual fermentables should be entered in the fruit beer category.",,100,2.5,25,1,100,1.03,1.006,1.03,2012-03-21 20:06:46,2015-04-07 15:44:53,,,,,,,1.062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VXcVrg,100 Barrel Series #39 - Vermont Spruce Tip Ale,100 Barrel Series #39 - Vermont Spruce Tip Ale,,7,38,5,2,125,N,https://s3.amazonaws.com/brewerydbapi/beer/VXcVrg/upload_RT7Zk5-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/VXcVrg/upload_RT7Zk5-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/VXcVrg/upload_RT7Zk5-large.png,verified,Verified,2012-01-03 02:44:27,2015-12-16 13:53:25,5,Pint,2012-01-03 02:41:33,2,Limited,Limited availability.,125,11,11,Hybrid/mixed Beer,2012-03-21 20:06:46,Specialty Beer,Specialty,"These beers are brewed using unusual fermentable sugars, grains and starches that contribute to alcohol content other than, or in addition to, malted barley. Nuts generally have some degree of fermentables, thus beers brewed with nuts would appropriately be entered in this category. The distinctive characters of these special ingredients should be evident either in the aroma, flavor or overall balance of the beer, but not necessarily in overpowering quantities. For example, maple syrup or potatoes would be considered unusual. Rice, corn, or wheat are not considered unusual. Special ingredients must be listed when competing. A statement by the brewer explaining the special nature of the beer, ingredient(s) and achieved character is essential in order for fair assessment in competitions. If this beer is a classic style with some specialty ingredient(s), the brewer should also specify the classic style. Guidelines for competing: Spiced beers using unusual fermentables should be entered in the experimental category. Fruit beers using unusual fermentables should be entered in the fruit beer category.",,100,2.5,25,1,100,1.03,1.006,1.03,2012-03-21 20:06:46,2015-04-07 15:44:53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
