id,name,nameDisplay,description,abv,ibu,glasswareId,availableId,styleId,isOrganic,labels/icon,labels/medium,labels/large,status,statusDisplay,originalGravity,createDate,updateDate,glass/id,glass/name,glass/createDate,available/id,available/name,available/description,style/id,style/categoryId,style/category/id,style/category/name,style/category/createDate,style/name,style/shortName,style/description,style/ibuMin,style/ibuMax,style/abvMin,style/abvMax,style/srmMin,style/srmMax,style/ogMin,style/fgMin,style/fgMax,style/createDate,style/updateDate,srmId,servingTemperature,servingTemperatureDisplay,srm/id,srm/name,srm/hex,year,foodPairings
YBW4h3,1554,1554,"Born of a flood and centuries-old Belgian text, 1554 Enlightened Black Ale uses a lager yeast strain and dark chocolaty malts to redefine what dark beer can be. In 1997, a Fort Collins flood destroyed the original recipe our researcher, Phil Benstein, found in the library. So Phil and brewmaster, Peter Bouckaert, traveled to Belgium to retrieve this unique style lost to the ages. Their first challenge was deciphering antiquated script and outdated units of measurement, but trial and error (and many months of in-house sampling) culminated in 1554, a highly quaffable dark beer with a moderate body and mouthfeel.",5.6,21,6,1,64,N,https://s3.amazonaws.com/brewerydbapi/beer/YBW4h3/upload_MddGyV-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/YBW4h3/upload_MddGyV-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/YBW4h3/upload_MddGyV-large.png,verified,Verified,1.062,2012-01-03 02:42:36,2015-12-15 22:12:37,6,Snifter,2012-01-03 02:41:33,1,Year Round,Available year round as a staple beer.,64,5,5,Belgian And French Origin Ales,2012-03-21 20:06:46,Belgian-Style Dark Strong Ale,Belgian Dark Strong,"Belgian dark strong ales are amber to dark brown in color. Often, though not always, brewed with dark Belgian ""candy"" sugar, these beers can be well attenuated, ranging from medium to full-bodied. The perception of hop bitterness is low to medium, with hop flavor and aroma also in this range. Fruity complexity along with the soft flavors of roasted malts add distinct character. The alcohol strength of these beers can often be deceiving to the senses. The intensity of malt character can be rich, creamy, and sweet with intensities ranging from medium to high. Very little or no diacetyl is perceived. Herbs and spices are sometimes used to delicately flavor these strong ales. Low levels of phenolic spiciness from yeast byproducts may also be perceived. Chill haze is allowable at cold temperatures.",20,50,7,11,9,35,1.064,1.012,1.024,2012-03-21 20:06:46,2015-04-07 15:32:23,,,,,,,,
14mWfG,15th  Anniversary,15th  Anniversary,,,,4,2,76,N,https://s3.amazonaws.com/brewerydbapi/beer/14mWfG/upload_D5zm0e-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/14mWfG/upload_D5zm0e-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/14mWfG/upload_D5zm0e-large.png,verified,Verified,,2012-01-03 02:42:36,2015-12-16 10:31:03,4,Pilsner,2012-01-03 02:41:33,2,Limited,Limited availability.,76,7,7,European-germanic Lager,2012-03-21 20:06:46,Bohemian-Style Pilsener,Bohemian Pilsener,"Traditional Bohemian Pilseners are medium bodied, and they can be as dark as a light amber color. This style balances moderate bitterness and noble-type hop aroma and flavor with a malty, slightly sweet, medium body. Extremely low levels of diacetyl and low levels of sweet corn-like dimethylsulfide (DMS) character, if perceived, are characteristic of this style and both may accent malt aroma. A toasted-, biscuit-like, bready malt character along with low levels of sulfur compounds may be evident. There should be no chill haze. Its head should be dense and rich.",30,45,4,5,3,7,1.044,1.014,1.02,2012-03-21 20:06:46,2015-04-07 15:36:03,,,,,,,,
Jw9k5o,15th Anniversary Ale,15th Anniversary Ale,"A MAJESTIC ALE FOR A MONUMENTAL OCCASION This noble brew evolved from its common cousins, porter and stout, by necessity to endure the long voyage to the Russian royal court. Colossal additions of American hops are used to balance the robust malt character and infuse this ale with their distinctly citrus-like qualities. 15th Anniversary ale can be consumed now or laid down for later enjoyment. Take some home to share with friends and family at your court.",9.8,70,5,2,43,N,https://s3.amazonaws.com/brewerydbapi/beer/Jw9k5o/upload_4hLa8T-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/Jw9k5o/upload_4hLa8T-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/Jw9k5o/upload_4hLa8T-large.png,verified,Verified,,2012-01-03 02:42:36,2015-12-16 10:31:19,5,Pint,2012-01-03 02:41:33,2,Limited,Limited availability.,43,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style Imperial Stout,American Imperial Stout,"Black in color, American-style imperial stouts typically have a high alcohol content. Generally characterized as very robust. The extremely rich malty flavor and aroma are balanced with assertive hopping and fruity-ester characteristics. Bitterness should be moderately high to very high and balanced with full sweet malt character. Roasted malt astringency and bitterness can be moderately perceived but should not overwhelm the overall character. Hop aroma is usually moderately-high to overwhelmingly hop-floral, -citrus or -herbal. Diacetyl (butterscotch) levels should be absent.",50,80,7,12,40,40,1.08,1.02,1.03,2012-03-21 20:06:46,2015-04-07 15:28:49,,,,,,,,
nxXwJd,15th Anniversary Ale,15th Anniversary Ale,,,,,2,,N,https://s3.amazonaws.com/brewerydbapi/beer/nxXwJd/upload_bwANBV-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/nxXwJd/upload_bwANBV-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/nxXwJd/upload_bwANBV-large.png,verified,Verified,,2013-04-17 13:10:58,2013-04-17 13:11:00,,,,2,Limited,Limited availability.,,,,,,,,,,,,,,,,,,,,,,,,,,,
oVesmK,15th Anniversary Bolt Cutter Barley Wine,15th Anniversary Bolt Cutter Barley Wine,"Made to Celebrate Founders 15th Anniversary, Bolt Cutter Barley Wine is an American barley wine that pours deep copper color and is strong, sweet and malt-forward, with a spicy complexity. Typical of the style, it is very cellarable. The final product is a blend using beer that was aged in Bourbon barrels, some from aged maple syrup Bourbon barrels and some from standard fermentation. After blending, the beer was allowed to mature in bottles and kegs for a few months before releasing.",15,,,2,34,N,https://s3.amazonaws.com/brewerydbapi/beer/oVesmK/upload_ME06Sc-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/oVesmK/upload_ME06Sc-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/oVesmK/upload_ME06Sc-large.png,verified,Verified,,2013-05-05 00:37:52,2015-12-17 01:37:24,,,,2,Limited,Limited availability.,34,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style Barley Wine Ale,American Barleywine,"American style barley wines range from amber to deep copper-garnet in color and have a full body and high residual malty sweetness. Complexity of alcohols and fruity-ester characters are often high and counterbalanced by assertive bitterness and extraordinary alcohol content. Hop aroma and flavor are at medium to very high levels. American type hops are often used but not necessary for this style. Very low levels of diacetyl may be acceptable. A caramel and/or toffee aroma and flavor are often part of the character. Characters indicating oxidation, such as vinous (sometimes sherry-like) aromas and/or flavors, are not generally acceptable in American-style Barley Wine Ale, however if a low level of age-induced oxidation character harmonizes and enhances the overall experience this can be regarded favorably. Chill haze is allowable at cold temperatures.",60,100,8.4,12,11,22,1.09,1.024,1.028,2012-03-21 20:06:46,2015-04-07 15:27:08,,,,,,,,
YCE6yo,15th Anniversary Wood Aged Double IPA,15th Anniversary Wood Aged Double IPA,"Based on our most award-winning beer, Denver Pale Ale, this copper-hued treat is a celebration of everything Great Divide does best. Plenty of malty sweetness provides a backdrop for earthy, floral English and American hops, while French and American oak round off the edges and provide a touch of vanilla. Thanks to everyone who's supported us for the last 15 years—here’s to 15 more!",10,,5,4,31,N,https://s3.amazonaws.com/brewerydbapi/beer/YCE6yo/upload_Mmbiex-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/YCE6yo/upload_Mmbiex-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/YCE6yo/upload_Mmbiex-large.png,verified,Verified,,2012-01-03 02:42:36,2015-12-16 06:08:53,5,Pint,2012-01-03 02:41:33,4,Seasonal,"Available at the same time of year, every year.",31,3,3,North American Origin Ales,2012-03-21 20:06:45,Imperial or Double India Pale Ale,Imperial IPA,"Imperial or Double India Pale Ales have intense hop bitterness, flavor and aroma. Alcohol content is medium-high to high and notably evident. They range from deep golden to medium copper in color. The style may use any variety of hops. Though the hop character is intense it's balanced with complex alcohol flavors, moderate to high fruity esters and medium to high malt character. Hop character should be fresh and lively and should not be harsh in quality. The use of large amounts of hops may cause a degree of appropriate hop haze. Imperial or Double India Pale Ales have medium-high to full body. Diacetyl should not be perceived. The intention of this style of beer is to exhibit the fresh and bright character of hops. Oxidative character and aged character should not be present.",65,100,7.5,10.5,5,13,1.075,1.012,1.02,2012-03-21 20:06:45,2015-04-07 15:26:46,,,,,,,,
EWy8yb,16 Barrels,16 Barrels,,10,,,,36,N,https://s3.amazonaws.com/brewerydbapi/beer/EWy8yb/upload_qYeTpd-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/EWy8yb/upload_qYeTpd-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/EWy8yb/upload_qYeTpd-large.png,verified,Verified,,2014-01-16 18:36:11,2015-12-17 08:33:14,,,,,,,36,3,3,North American Origin Ales,2012-03-21 20:06:45,Golden or Blonde Ale,Blonde,"Golden or Blonde ales are straw to golden blonde in color. They have a crisp, dry palate, light to medium body, and light malt sweetness. Low to medium hop aroma may be present but does not dominate. Bitterness is low to medium. Fruity esters may be perceived but do not predominate. Diacetyl should not be perceived. Chill haze should be absent.",15,25,4,5,3,7,1.045,1.008,1.016,2012-03-21 20:06:46,2015-04-07 15:27:26,,,,,,,,
UJGpVS,16 So Fine Red Wheat Wine,16 So Fine Red Wheat Wine,"For our super heady 16 year anniversary beer we stepped on the gas and headed down the road less traveled! Our b-day present to ourselves was a racy Red Wheat Wine. The brew rips down the road at 11% ABV fueld by a 45% wheat bomb with an after burner hop shot of Amarillo, Willamette, Nelson Sauvignon, and US Goldings that pushes this baby to the limit of sensory overload. Get in. Sit down. Hold on. Shut up.",11,,,,35,N,https://s3.amazonaws.com/brewerydbapi/beer/UJGpVS/upload_K4w7gB-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/UJGpVS/upload_K4w7gB-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/UJGpVS/upload_K4w7gB-large.png,verified,Verified,,2013-02-24 16:31:05,2015-12-17 01:47:08,,,,,,,35,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style Wheat Wine Ale,Wheatwine,"American style wheat wines range from gold to deep amber and are brewed with 50% or more wheat malt. They have full body and high residual malty sweetness. Perception of bitterness is moderate to medium -high. Fruity-ester characters are often high and counterbalanced by complexity of alcohols and high alcohol content. Hop aroma and flavor are at low to medium levels. Very low levels of diacetyl may be acceptable. Bready, wheat, honey-like and/or caramel aroma and flavor are often part of the character. Phenolic yeast character, sulfur, and/or sweet corn-like dimethylsulfide (DMS) should not be present. Oxidized, stale and aged characters are not typical of this style. Chill haze is allowable.",45,85,8.4,12,8,15,1.088,1.024,1.032,2012-03-21 20:06:46,2015-04-07 15:27:17,,,,,,,,
Y9mbq2,16-Bit DPA,16-Bit DPA,"16-Bit Double Pale Ale is the next generation of pale ale from Tallgrass. For fans of 8-Bit Pale Ale ready to advance to a new realm, 16-Bit DPA is a one-pint finishing move that delivers a sweeping sequence of crisp aromas, light body, bright hoppiness and striking citrus flavors. Best enjoyed in multi-player mode.",6.2,,,,25,Y,https://s3.amazonaws.com/brewerydbapi/beer/Y9mbq2/upload_i4UcjD-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/Y9mbq2/upload_i4UcjD-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/Y9mbq2/upload_i4UcjD-large.png,verified,Verified,,2015-07-27 20:20:08,2015-12-18 04:33:55,,,,,,,25,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style Pale Ale,American Pale,"American pale ales range from deep golden to copper in color. The style is characterized by fruity, floral and citrus-like American-variety hop character producing medium to medium-high hop bitterness, flavor, and aroma. Note that the ""traditional"" style of this beer has its origins with certain floral, fruity, citrus-like, piney, resinous, or sulfur-like American hop varietals. One or more of these hop characters is the perceived end, but the perceived hop characters may be a result of the skillful use of hops of other national origins. American pale ales have medium body and low to medium maltiness. Low caramel character is allowable. Fruity-ester flavor and aroma should be moderate to strong. Diacetyl should be absent or present at very low levels. Chill haze is allowable at cold temperatures.",30,42,4.5,5.6,6,14,1.044,1.008,1.014,2012-03-21 20:06:45,2015-04-07 15:25:18,,,,,,,,
HwXClu,1600 Kölsch,1600 Kölsch,"FSB’s take on a classic German style beer brewed in honor of the 1600 Group, the community-minded neighbors who united to buy the building that would become Fifth Street Brewpub. They helped make all this possible. It is widely accepted among beer aficionados that the Kölsch was Germany’s answer to the English pale ale. The subtle effervescent fruitiness and mild hop bitterness hovers happily on the palette, and pairs perfectly with fish and light dinners, but just like an IPA or Pilsner, it holds up well with grilled meats and sandwiches. The crisp clean finish makes 1600 Kölsch a naturally great session beer. 1600 Kölsch is incredibly flavorful, and at 5.0% ABV, it’s almost impossible to drink just one.",5,,,1,45,Y,https://s3.amazonaws.com/brewerydbapi/beer/HwXClu/upload_BnrAVL-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/HwXClu/upload_BnrAVL-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/HwXClu/upload_BnrAVL-large.png,verified,Verified,,2015-06-22 23:06:28,2015-12-18 02:20:40,,,,1,Year Round,Available year round as a staple beer.,45,4,4,German Origin Ales,2012-03-21 20:06:46,German-Style Kölsch / Köln-Style Kölsch,Kölsch,"Kölsch is warm fermented and aged at cold temperatures (German ale or alt-style beer). Kölsch is characterized by a golden to straw color and a slightly dry, subtly sweet softness on the palate, yet crisp. Good, dense head retention is desirable. Light pearapple-Riesling wine-like fruitiness may be apparent, but is not necessary for this style. Caramel character should not be evident. The body is light to medium-light. This beer has low hop flavor and aroma with medium bitterness. Wheat can be used in brewing this beer. Ale yeast is used for fermentation, though lager yeast is sometimes used in the bottle or final cold conditioning process. Fruity esters should be minimally perceived, if at all. Chill haze should be absent.",18,25,4.8,5.3,4,6,1.042,1.006,1.01,2012-03-21 20:06:46,2015-04-07 15:29:04,,,,,,,,
