id,name,nameDisplay,description,abv,ibu,srmId,styleId,isOrganic,labels/icon,labels/medium,labels/large,status,statusDisplay,createDate,updateDate,srm/id,srm/name,srm/hex,style/id,style/categoryId,style/category/id,style/category/name,style/category/createDate,style/name,style/shortName,style/description,style/createDate,style/updateDate,style/ibuMin,style/ibuMax,style/abvMin,style/abvMax,style/srmMin,style/srmMax,style/ogMin,style/fgMin,style/fgMax,glasswareId,availableId,servingTemperature,servingTemperatureDisplay,originalGravity,glass/id,glass/name,glass/createDate,available/id,available/name,available/description,foodPairings,year
YP4dCI,1920 Cognac Stout Imperiale,1920 Cognac Stout Imperiale,"Like the Franco-Belgian Military Accord of 1920, this beer unites a Belgian-style Imperial Stout and one-year aging in a French Cognac oak foudre, coalescing into inviting aromas of dark roast coffee & dark chocolate, cognac, black cherries, wood and hints of molasses, homemade licorice and slight smoke, followed by welcoming favors of espresso roast coffee, prominent dark chocolate & black cherries, plums, French oak tannins and cognac.  Hop bitterness, aromas and flavors are not readily perceived but provide back stage structure to balance the roast malts and oak tannins.  The pleasant, medium body, gentle warming and dry finish of this opaque/black imperial stout perfectly suits it for a snifter on a cold, midwestern night.",11.64,82,41,132,N,https://s3.amazonaws.com/brewerydbapi/beer/YP4dCI/upload_9fH994-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/YP4dCI/upload_9fH994-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/YP4dCI/upload_9fH994-large.png,verified,Verified,2014-09-10 16:07:02,2015-12-17 17:34:22,41,Over 40,000000,132,11,11,Hybrid/mixed Beer,2012-03-21 20:06:46,Wood- and Barrel-Aged Beer,BBL Aged,"A wood- or barrel-aged beer is any lager, ale or hybrid beer, either a traditional style or a unique experimental beer that has been aged for a period of time in a wooden barrel or in contact with wood. This beer is aged with the intention of imparting the particularly unique character of the wood and/or what has previously been in the barrel. New wood character can be characterized as a complex blend of vanillin and/or other unique wood character, but wood aged is not necessarily synonymous with imparting wood-flavors. Used sherry, rum, bourbon, scotch, port, wine and other barrels are often used, imparting complexity and uniqueness to beer. Ultimately a balance of flavor, aroma and mouthfeel are sought with the marriage of new beer with wood and/or barrel flavors. Beers in this style may or may not have Brettanomyces character. Brewers when entering this category should specify type of barrel and/or wood used and any other special treatment or ingredients used. Competition managers may create style subcategories to differentiate between high alcohol and low alcohol beers and very dark and lighter colored beer as well as for fruit beers and non-fruit beers. Competitions may develop guidelines requesting brewers to specify what kind of wood (new or used oak, other wood varieties) and/or barrel (whiskey, port, sherry, wine, etc.) was used in the process. The brewer may be asked to explain the special nature (wood used, base beer style(s) and achieved character) of the beer.",2012-03-21 20:06:46,2015-04-07 15:46:27,,,,,,,,,,,,,,,,,,,,,,
22sc9o,1945,1945,,,,,46,N,https://s3.amazonaws.com/brewerydbapi/beer/22sc9o/upload_6v98Kn-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/22sc9o/upload_6v98Kn-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/22sc9o/upload_6v98Kn-large.png,verified,Verified,2013-02-22 17:58:14,2015-12-17 00:08:55,,,,46,4,4,German Origin Ales,2012-03-21 20:06:46,Berliner-Style Weisse (Wheat),Berlinerweisse,"This is very pale in color and the lightest of all the German wheat beers. The unique combination of yeast and lactic acid bacteria fermentation yields a beer that is acidic, highly attenuated, and very light bodied. The carbonation of a Berliner Weisse is high, and hop rates are very low. Clarity may be hazy or cloudy from yeast or chill haze. Hop character should not be perceived. Fruity esters will be evident. No diacetyl should be perceived.",2012-03-21 20:06:46,2015-04-07 15:29:14,3,6,2.8,3.4,2,4,1.028,1.004,1.006,,,,,,,,,,,,,
wAqRB6,1955 Double Brown,1955 Double Brown,,5.1,,,37,N,https://s3.amazonaws.com/brewerydbapi/beer/wAqRB6/upload_PXqn9x-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/wAqRB6/upload_PXqn9x-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/wAqRB6/upload_PXqn9x-large.png,verified,Verified,2014-02-17 12:15:48,2015-12-17 09:37:57,,,,37,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style Brown Ale,American Brown,"American brown ales range from deep copper to brown in color. Roasted malt caramel-like and chocolate-like characters should be of medium intensity in both flavor and aroma. American brown ales have evident low to medium hop flavor and aroma, medium to high hop bitterness, and a medium body. Estery and fruity-ester characters should be subdued. Diacetyl should not be perceived. Chill haze is allowable at cold temperatures.",2012-03-21 20:06:46,2015-04-07 15:27:35,25,45,4,6.4,15,26,1.04,1.01,1.018,,,,,,,,,,,,,
W9GM4Y,19th Anniversary Ale,19th Anniversary Ale,"A relatively obscure sub-style of porter, this imposing brew honors the roots of its heritage. Like its English counterparts, it is malt forward with the focus on dark malt character. Our porter is a heartier brew like the inspirational beers of the Baltic region. Available for a limited time in 22-oz. bombers and on draught where you can find it",7.7,30,39,104,Y,https://s3.amazonaws.com/brewerydbapi/beer/W9GM4Y/upload_JFGT2g-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/W9GM4Y/upload_JFGT2g-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/W9GM4Y/upload_JFGT2g-large.png,verified,Verified,2015-06-18 15:06:41,2015-12-18 02:46:50,39,39,3A070B,104,9,9,Other Lager,2012-03-21 20:06:46,Baltic-Style Porter,Baltic Porter,"A true smooth cold-fermented and cold lagered beer, brewed with lager yeast. Black to very deep ruby/garnet in color. Overall, Baltic Porters have a very smooth lagered character with distinctive caramelized sugars, licorice and chocolate-like character of roasted malts and dark sugars. Roasted dark malts should not contribute bitterness, or astringent roast character. A low degree of smokiness from malt may be evident. Debitterized roast malts are best used for this style. Because of its alcoholic strength, aroma may include gentle (low) lager fruitiness (berries, grapes, plums, not banana; ale-like fruitiness from warm temperature fermentation is not appropriate), complex alcohols, cocoa-like, roast malt (and sometimes coffee-like roast barley, yet not bitter). Hop aroma is very low, though a hint of floral or sweet hop aroma can complement aromatics and flavor without dominance. Baltic Porters are not hop bitter dominated and expressed as low to medium-low. Baltic porters range from having medium to full body complemented with a medium-low to medium level of malty sweetness. No butterscotch-like diacetyl or sweet corn-like dimethylsulfide (DMS) should be apparent in aroma or flavor.",2012-03-21 20:06:46,2015-04-07 15:41:46,35,40,7.5,9,40,40,1.072,1.016,1.022,5,2,cold,Cold - (4-7C/39-45F),1.074,5,Pint,2012-01-03 02:41:33,2,Limited,Limited availability.,,
BrAip0,19th Anniversary Ale,19th Anniversary Ale,"To celebrate the brewery’s 19th Anniversary, Great Divide’s brewers deviated from previous years’ anniversary ales and developed an entirely new recipe. The label reads, 19th Anniversary Ale isn’t just a wood-aged ale. It’s a compass – a reminder of where we’ve been and where we’re going. Brewed with pure birch syrup and aged on birch wood, this beer embraces reverential tradition and revolutionary innovation. As we celebrate our 19th year, we hope you’ll join us for the road ahead.",10.2,,,29,N,https://s3.amazonaws.com/brewerydbapi/beer/BrAip0/upload_8MyiG4-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/BrAip0/upload_8MyiG4-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/BrAip0/upload_8MyiG4-large.png,verified,Verified,2014-07-10 15:08:00,2015-12-17 15:19:31,,,,29,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style Strong Pale Ale,American Strong Pale,"American strong pale ales range from deep golden to copper in color. The style is characterized by floral and citrus-like American-variety hops used to produce high hop bitterness, flavor, and aroma. Note that floral, fruity, citrus-like, piney, resinous, or sulfur-like American-variety hop character is the perceived end, but may be a result of the skillful use of hops of other national origins. American strong pale ales have medium body and low to medium maltiness. Low caramel character is allowable. Fruityester flavor and aroma should be moderate to strong. Diacetyl should be absent or present at very low levels. Chill haze is allowable at cold temperatures.",2012-03-21 20:06:45,2015-04-07 15:26:32,40,50,5.5,6.3,6,14,1.05,1.008,1.016,8,2,,,,8,Tulip,2012-01-03 02:41:33,2,Limited,Limited availability.,,
KYmRUi,19th Birthday Suit,19th Birthday Suit,"In the beginning, cherry trees shaded the beer garden. Resisting temptation no longer, we picked the fruit and let it ferment into a pleasingly sour and subtly sweet ale to mark Uinta’s 19th Birthday. A sinful pleasure for the experienced and adventurous palate.",7.3,,,119,N,https://s3.amazonaws.com/brewerydbapi/beer/KYmRUi/upload_OtA8wF-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/KYmRUi/upload_OtA8wF-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/KYmRUi/upload_OtA8wF-large.png,verified,Verified,2013-08-09 20:55:55,2015-12-17 03:49:35,,,,119,11,11,Hybrid/mixed Beer,2012-03-21 20:06:46,Fruit Beer,Fruit Beer,"Fruit beers are any beers using fruit or fruit extracts as an adjunct in either, the mash, kettle, primary or secondary fermentation providing obvious (ranging from subtle to intense), yet harmonious, fruit qualities. Fruit qualities should not be overpowered by hop character. If a fruit (such as juniper berry) has an herbal or spice quality, it is more appropriate to consider it in the herb and spice beers category. Acidic bacterial (not wild yeast) fermentation characters may be evident (but not necessary) they would contribute to acidity and enhance fruity balance. Clear or hazy beer is acceptable in appearance. A statement by the brewer explaining what fruits are used is essential in order for fair assessment in competitions. If this beer is a classic style with fruit, the brewer should also specify the classic style.",2012-03-21 20:06:46,2015-04-07 15:44:21,5,70,2.5,12,5,50,1.03,1.006,1.03,8,2,,,,8,Tulip,2012-01-03 02:41:33,2,Limited,Limited availability.,,
kQ42vv,1st Anniversary,1st Anniversary,"Our first year anniversary Imperial Pilsner is an unfiltered, hopped-up lager brewed with true German malt. Hallertau hops, added twice in the fermenter, give this special brew plenty of flavor and aroma while maintaining a drinkable presence. Available on draft and in 22-ounce bottles while supplies last.",7.4,61,,98,N,https://s3.amazonaws.com/brewerydbapi/beer/kQ42vv/upload_Qh6MOs-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/kQ42vv/upload_Qh6MOs-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/kQ42vv/upload_Qh6MOs-large.png,verified,Verified,2014-09-30 17:38:28,2015-12-17 18:32:44,,,,98,8,8,North American Lager,2012-03-21 20:06:46,American-Style Pilsener,American Pilsener,"This classic and unique pre-Prohibition American-style Pilsener is straw to deep gold in color. Hop bitterness, flavor and aroma are medium to high, and use of noble-type hops for flavor and aroma is preferred. Up to 25 percent corn and/or rice in the grist should be used. Malt flavor and aroma are medium. This is a light-medium to medium-bodied beer. Sweet corn-like dimethylsulfide (DMS), fruity esters and American hop-derived citrus flavors or aromas should not be perceived. Diacetyl is not acceptable. There should be no chill haze. Competition organizers may wish to subcategorize this style into rice and corn subcategories.",2012-03-21 20:06:46,2015-04-07 15:40:08,25,40,5,6,3,6,1.045,1.012,1.018,,2,,,,,,,2,Limited,Limited availability.,,
lr3HfC,1st Anniversary Ale,1st Anniversary Ale,,9.3,100,7,31,N,https://s3.amazonaws.com/brewerydbapi/beer/lr3HfC/upload_XmJRB7-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/lr3HfC/upload_XmJRB7-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/lr3HfC/upload_XmJRB7-large.png,verified,Verified,2014-03-22 13:32:04,2015-12-17 10:12:12,7,7,F39C00,31,3,3,North American Origin Ales,2012-03-21 20:06:45,Imperial or Double India Pale Ale,Imperial IPA,"Imperial or Double India Pale Ales have intense hop bitterness, flavor and aroma. Alcohol content is medium-high to high and notably evident. They range from deep golden to medium copper in color. The style may use any variety of hops. Though the hop character is intense it's balanced with complex alcohol flavors, moderate to high fruity esters and medium to high malt character. Hop character should be fresh and lively and should not be harsh in quality. The use of large amounts of hops may cause a degree of appropriate hop haze. Imperial or Double India Pale Ales have medium-high to full body. Diacetyl should not be perceived. The intention of this style of beer is to exhibit the fresh and bright character of hops. Oxidative character and aged character should not be present.",2012-03-21 20:06:45,2015-04-07 15:26:46,65,100,7.5,10.5,5,13,1.075,1.012,1.02,5,2,cool,Cool - (8-12C/45-54F),1.018,5,Pint,2012-01-03 02:41:33,2,Limited,Limited availability.,,
EwzrNg,1st Anniversary Ale,1st Anniversary Ale,"With thanks to our friend Mark Robie, we offer you our first Anniversary beer. Made with uncondensed White Birch sap and our house yeast, its a beer unlike any other. We feel this is the perfect way to show our appreciation to our fans for their continued support of our dream.",7.6,,,125,N,https://s3.amazonaws.com/brewerydbapi/beer/EwzrNg/upload_K1pI9j-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/EwzrNg/upload_K1pI9j-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/EwzrNg/upload_K1pI9j-large.png,verified,Verified,2012-01-03 02:42:37,2015-12-16 06:45:17,,,,125,11,11,Hybrid/mixed Beer,2012-03-21 20:06:46,Specialty Beer,Specialty,"These beers are brewed using unusual fermentable sugars, grains and starches that contribute to alcohol content other than, or in addition to, malted barley. Nuts generally have some degree of fermentables, thus beers brewed with nuts would appropriately be entered in this category. The distinctive characters of these special ingredients should be evident either in the aroma, flavor or overall balance of the beer, but not necessarily in overpowering quantities. For example, maple syrup or potatoes would be considered unusual. Rice, corn, or wheat are not considered unusual. Special ingredients must be listed when competing. A statement by the brewer explaining the special nature of the beer, ingredient(s) and achieved character is essential in order for fair assessment in competitions. If this beer is a classic style with some specialty ingredient(s), the brewer should also specify the classic style. Guidelines for competing: Spiced beers using unusual fermentables should be entered in the experimental category. Fruit beers using unusual fermentables should be entered in the fruit beer category.",2012-03-21 20:06:46,2015-04-07 15:44:53,,100,2.5,25,1,100,1.03,1.006,1.03,,3,,,,,,,3,Not Available,Beer is not available.,,
y16meT,1st Anniversary Breakers Ball,1st Anniversary Breakers Ball,,10.9,,,72,N,https://s3.amazonaws.com/brewerydbapi/beer/y16meT/upload_dVgLY9-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/y16meT/upload_dVgLY9-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/y16meT/upload_dVgLY9-large.png,verified,Verified,2014-05-06 13:47:52,2015-12-17 11:51:19,,,,72,5,5,Belgian And French Origin Ales,2012-03-21 20:06:46,French & Belgian-Style Saison,Saison,"Beers in this category are golden to deep amber in color. There may be quite a variety of characters within this style. Generally: They are light to medium in body. Malt aroma is low to medium-low. Esters are medium to high in  aroma, while, complex alcohols, herbs, spices, low Brettanomyces character and even clove and smoke-like phenolics may or may not be evident in the overall balanced beer. Hop aroma and flavor may be at low to medium levels. Malt flavor is low but provides foundation for the overall balance. Hop bitterness is moderate to moderately assertive. Herb and/or spice flavors, including black pepper-like notes, may or may not be evident. Fruitiness from fermentation is generally in character. A balanced small amount of sour or acidic flavors is acceptable when in balance with other components. Earthy, cellar-like, musty aromas are okay. Diacetyl should not be perceived. Chill or slight yeast haze is okay. Often bottle conditioned with some yeast character and high carbonation. French & Belgian-Style Saison may have Brettanomyces characters that are slightly acidity, fruity, horsey, goaty and/or leather-like.",2012-03-21 20:06:46,2015-04-07 15:34:55,20,40,4.5,8.5,4,14,1.055,1.004,1.016,,2,,,,,,,2,Limited,Limited availability.,,
