id,name,nameDisplay,description,abv,srmId,availableId,styleId,isOrganic,labels/icon,labels/medium,labels/large,status,statusDisplay,createDate,updateDate,srm/id,srm/name,srm/hex,available/id,available/name,available/description,style/id,style/categoryId,style/category/id,style/category/name,style/category/createDate,style/name,style/shortName,style/description,style/ibuMin,style/ibuMax,style/abvMin,style/abvMax,style/srmMin,style/srmMax,style/ogMin,style/fgMin,style/fgMax,style/createDate,style/updateDate,ibu,glasswareId,glass/id,glass/name,glass/createDate,servingTemperature,servingTemperatureDisplay,originalGravity,foodPairings,beerVariationId,beerVariation/id,beerVariation/name,beerVariation/nameDisplay,beerVariation/description,beerVariation/abv,beerVariation/ibu,beerVariation/glasswareId,beerVariation/availableId,beerVariation/styleId,beerVariation/isOrganic,beerVariation/labels/icon,beerVariation/labels/medium,beerVariation/labels/large,beerVariation/status,beerVariation/statusDisplay,beerVariation/foodPairings,beerVariation/createDate,beerVariation/updateDate,beerVariation/glass/id,beerVariation/glass/name,beerVariation/glass/createDate,beerVariation/available/id,beerVariation/available/name,beerVariation/available/description,beerVariation/style/id,beerVariation/style/categoryId,beerVariation/style/category/id,beerVariation/style/category/name,beerVariation/style/category/createDate,beerVariation/style/name,beerVariation/style/shortName,beerVariation/style/description,beerVariation/style/ibuMin,beerVariation/style/ibuMax,beerVariation/style/abvMin,beerVariation/style/abvMax,beerVariation/style/srmMin,beerVariation/style/srmMax,beerVariation/style/ogMin,beerVariation/style/fgMin,beerVariation/style/fgMax,beerVariation/style/createDate,beerVariation/style/updateDate
2857hA,20th Anniversary Experimental IPA,20th Anniversary Experimental IPA,This refreshing session ale delivers citrus and pine notes from unique experimental hops. Two decades strong and we taste mighty fresh. Cheers to 20 years of Victory!,5.5,1,5,30,N,https://s3.amazonaws.com/brewerydbapi/beer/2857hA/upload_hYBZ84-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/2857hA/upload_hYBZ84-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/2857hA/upload_hYBZ84-large.png,verified,Verified,2016-02-02 20:31:16,2016-04-12 16:52:27,1,1,FFE699,5,Spring,Available during the spring months.,30,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style India Pale Ale,American IPA,"American-style India pale ales are perceived to have medium-high to intense hop bitterness, flavor and aroma with medium-high alcohol content. The style is further characterized by floral, fruity, citrus-like, piney, resinous, or sulfur-like American-variety hop character. Note that one or more of these American-variety hop characters is the perceived end, but the hop characters may be a result of the skillful use of hops of other national origins. The use of water with high mineral content results in a crisp, dry beer. This pale gold to deep copper-colored ale has a full, flowery hop aroma and may have a strong hop flavor (in addition to the perception of hop bitterness). India pale ales possess medium maltiness which contributes to a medium body. Fruity-ester flavors and aromas are moderate to very strong. Diacetyl can be absent or may be perceived at very low levels. Chill and/or hop haze is allowable at cold temperatures. (English and citrus-like American hops are considered enough of a distinction justifying separate American-style IPA and English-style IPA categories or subcategories. Hops of other origins may be used for bitterness or approximating traditional American or English character. See English-style India Pale Ale",50,70,6.3,7.5,6,14,1.06,1.012,1.018,2012-03-21 20:06:45,2015-04-07 15:26:37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JLs7Oc,20th Anniversary Scotch Ale,20th Anniversary Scotch Ale,,,,2,15,N,https://s3.amazonaws.com/brewerydbapi/beer/JLs7Oc/upload_LyU0NF-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/JLs7Oc/upload_LyU0NF-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/JLs7Oc/upload_LyU0NF-large.png,verified,Verified,2014-02-18 12:22:19,2015-12-17 09:44:20,,,,2,Limited,Limited availability.,15,1,1,British Origin Ales,2012-03-21 20:06:45,Scotch Ale,Scotch Ale,"Scotch ales are overwhelmingly malty and full-bodied. Perception of hop bitterness is very low. Hop flavor and aroma are very low or nonexistent. Color ranges from deep copper to brown. The clean alcohol flavor balances the rich and dominant sweet maltiness in flavor and aroma. A caramel character is often a part of the profile. Dark roasted malt flavors and aroma may be evident at low levels. If present, fruity esters are generally at low aromatic and flavor levels. Low diacetyl levels are acceptable. Chill haze is allowable at cold temperatures. Though there is little evidence suggesting that traditionally made strong Scotch ales exhibited peat smoke character, the current marketplace offers many Scotch Ales with peat or smoke character present at low to medium levels. Thus a peaty/smoky character may be evident at low levels (ales with medium or higher smoke character would be considered a smoke flavored beer and considered in another category). Scotch Ales may be split into two subcategories: Traditional (no smoke character) and Peated (low level of peat smoke character).",25,35,6.2,8,15,30,1.072,1.016,1.028,2012-03-21 20:06:45,2015-04-07 15:21:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wsVFe9,20th Birthday Suit,20th Birthday Suit,"Brewed in celebration of Uinta’s 20th Birthday, this American Style Sour Brown Ale flaunts significant acidity balanced by flavorful Abbey and Chocolate malts and a modest amount of hops. A distinct tartness on the palate combines with notes of toffee and earthiness.",7.4,20,2,40,N,https://s3.amazonaws.com/brewerydbapi/beer/wsVFe9/upload_uvW9Ek-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/wsVFe9/upload_uvW9Ek-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/wsVFe9/upload_uvW9Ek-large.png,verified,Verified,2013-08-09 20:58:46,2015-12-17 04:48:41,20,20,9B3200,2,Limited,Limited availability.,40,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style Sour Ale,Sour,"American sour ales can be very light to black or take on the color of added fruits or other ingredients. There is no Brettanomyces character in this style of beer. Wood- and barrel-aged sour ales are classified elsewhere. If acidity is present it is usually in the form of lactic, acetic and other organic acids naturally developed with acidified malt in the mash or in fermentation by the use of various microorganisms including certain bacteria and yeasts. Acidic character can be a complex balance of several types of acid and characteristics of age. The evolution of natural acidity develops balanced complexity. Residual flavors that come from liquids previously aged in a barrel such as bourbon or sherry should not be present. Wood vessels may be used during the fermentation and aging process, but wood-derived flavors such as vanillin must not be present. In darker versions, roasted malt, caramel-like and chocolate-like characters should be subtle in both flavor and aroma. American sour may have evident full range of hop aroma and hop bitterness with a full range of body. Estery and fruity-ester characters are evident, sometimes moderate and sometimes intense, yet balanced. Diacetyl and sweet corn-like dimethylsulfide (DMS) should not be perceived. Chill haze, bacteria and yeast-induced haze are allowable at low to medium levels at any temperature. Fruited American-Style Sour Ales will exhibit fruit flavors in harmonious balance with other characters.",,,,,,,,,,2012-03-21 20:06:46,2015-04-07 15:28:32,20,8,8,Tulip,2012-01-03 02:41:33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uIgENV,20th Street Ale Citra,20th Street Ale Citra,,7.3,,,,N,https://s3.amazonaws.com/brewerydbapi/beer/uIgENV/upload_Y3uGi9-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/uIgENV/upload_Y3uGi9-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/uIgENV/upload_Y3uGi9-large.png,verified,Verified,2012-11-17 14:40:19,2012-11-17 14:40:52,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,Pint,2012-01-03 02:41:33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WcP2Ww,20th Street Ale Crystal,20th Street Ale Crystal,,7.3,,,,N,https://s3.amazonaws.com/brewerydbapi/beer/WcP2Ww/upload_fLddgs-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/WcP2Ww/upload_fLddgs-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/WcP2Ww/upload_fLddgs-large.png,verified,Verified,2012-11-17 14:40:35,2012-11-17 14:40:55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HyxQE4,20th Street Ale Magnum,20th Street Ale Magnum,,7.3,,,,N,https://s3.amazonaws.com/brewerydbapi/beer/HyxQE4/upload_ZXeOiC-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/HyxQE4/upload_ZXeOiC-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/HyxQE4/upload_ZXeOiC-large.png,verified,Verified,2012-11-17 14:40:02,2012-11-17 14:40:47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V7NpcA,215 Pale Ale,215 Pale Ale,Brewed for Philly Beer Week 2011,6,,2,25,N,https://s3.amazonaws.com/brewerydbapi/beer/V7NpcA/upload_QCeVNd-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/V7NpcA/upload_QCeVNd-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/V7NpcA/upload_QCeVNd-large.png,verified,Verified,2012-01-03 02:42:37,2015-12-16 10:03:39,,,,2,Limited,Limited availability.,25,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style Pale Ale,American Pale,"American pale ales range from deep golden to copper in color. The style is characterized by fruity, floral and citrus-like American-variety hop character producing medium to medium-high hop bitterness, flavor, and aroma. Note that the ""traditional"" style of this beer has its origins with certain floral, fruity, citrus-like, piney, resinous, or sulfur-like American hop varietals. One or more of these hop characters is the perceived end, but the perceived hop characters may be a result of the skillful use of hops of other national origins. American pale ales have medium body and low to medium maltiness. Low caramel character is allowable. Fruity-ester flavor and aroma should be moderate to strong. Diacetyl should be absent or present at very low levels. Chill haze is allowable at cold temperatures.",30,42,4.5,5.6,6,14,1.044,1.008,1.014,2012-03-21 20:06:45,2015-04-07 15:25:18,,5,5,Pint,2012-01-03 02:41:33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4yPH39,219,219,First there was Region Riot in honor of our Region; now comes 219! This refreshing hoppy ale is just what you need.,5.6,,2,125,N,https://s3.amazonaws.com/brewerydbapi/beer/4yPH39/upload_7L3dSf-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/4yPH39/upload_7L3dSf-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/4yPH39/upload_7L3dSf-large.png,verified,Verified,2014-06-08 13:50:10,2015-12-17 15:13:19,,,,2,Limited,Limited availability.,125,11,11,Hybrid/mixed Beer,2012-03-21 20:06:46,Specialty Beer,Specialty,"These beers are brewed using unusual fermentable sugars, grains and starches that contribute to alcohol content other than, or in addition to, malted barley. Nuts generally have some degree of fermentables, thus beers brewed with nuts would appropriately be entered in this category. The distinctive characters of these special ingredients should be evident either in the aroma, flavor or overall balance of the beer, but not necessarily in overpowering quantities. For example, maple syrup or potatoes would be considered unusual. Rice, corn, or wheat are not considered unusual. Special ingredients must be listed when competing. A statement by the brewer explaining the special nature of the beer, ingredient(s) and achieved character is essential in order for fair assessment in competitions. If this beer is a classic style with some specialty ingredient(s), the brewer should also specify the classic style. Guidelines for competing: Spiced beers using unusual fermentables should be entered in the experimental category. Fruit beers using unusual fermentables should be entered in the fruit beer category.",,100,2.5,25,1,100,1.03,1.006,1.03,2012-03-21 20:06:46,2015-04-07 15:44:53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iVljH3,21st Anniversary,21st Anniversary,"Now that we are 21, our palate has matured like a fine wine. So we created something unique with old vine Zinfandel grape juice added during fermentation to give this brew a subtle vinous quality. Belgian yeast imparts hints of dried fruit in the nose, while a big dose of Vienna and Caramel malts yields a dry warming finish. Aged a month on American oak to take the edge off, this is one to share with friends.",10.2,24,2,125,N,https://s3.amazonaws.com/brewerydbapi/beer/iVljH3/upload_C5Kqzy-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/iVljH3/upload_C5Kqzy-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/iVljH3/upload_C5Kqzy-large.png,verified,Verified,2012-08-02 01:15:25,2015-12-16 17:20:13,24,24,821E00,2,Limited,Limited availability.,125,11,11,Hybrid/mixed Beer,2012-03-21 20:06:46,Specialty Beer,Specialty,"These beers are brewed using unusual fermentable sugars, grains and starches that contribute to alcohol content other than, or in addition to, malted barley. Nuts generally have some degree of fermentables, thus beers brewed with nuts would appropriately be entered in this category. The distinctive characters of these special ingredients should be evident either in the aroma, flavor or overall balance of the beer, but not necessarily in overpowering quantities. For example, maple syrup or potatoes would be considered unusual. Rice, corn, or wheat are not considered unusual. Special ingredients must be listed when competing. A statement by the brewer explaining the special nature of the beer, ingredient(s) and achieved character is essential in order for fair assessment in competitions. If this beer is a classic style with some specialty ingredient(s), the brewer should also specify the classic style. Guidelines for competing: Spiced beers using unusual fermentables should be entered in the experimental category. Fruit beers using unusual fermentables should be entered in the fruit beer category.",,100,2.5,25,1,100,1.03,1.006,1.03,2012-03-21 20:06:46,2015-04-07 15:44:53,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FPNwB5,21st Anniversary Ale,21st Anniversary Ale,"Now that we are 21, our palate has matured like a fine wine. So we created something unique with old vine Zinfandel grape juice added during fermentation to give this brew a subtle vinous quality. Belgian yeast imparts hints of dried fruit in the nose, while a big dose of Vienna and Caramel malts yields a dry warming finish. Aged a month on American oak to take the edge off, this is one to share with friends.",10.2,24,2,132,N,https://s3.amazonaws.com/brewerydbapi/beer/FPNwB5/upload_QO3yfr-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/FPNwB5/upload_QO3yfr-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/FPNwB5/upload_QO3yfr-large.png,verified,Verified,2012-01-03 02:42:37,2015-12-16 06:48:11,24,24,821E00,2,Limited,Limited availability.,132,11,11,Hybrid/mixed Beer,2012-03-21 20:06:46,Wood- and Barrel-Aged Beer,BBL Aged,"A wood- or barrel-aged beer is any lager, ale or hybrid beer, either a traditional style or a unique experimental beer that has been aged for a period of time in a wooden barrel or in contact with wood. This beer is aged with the intention of imparting the particularly unique character of the wood and/or what has previously been in the barrel. New wood character can be characterized as a complex blend of vanillin and/or other unique wood character, but wood aged is not necessarily synonymous with imparting wood-flavors. Used sherry, rum, bourbon, scotch, port, wine and other barrels are often used, imparting complexity and uniqueness to beer. Ultimately a balance of flavor, aroma and mouthfeel are sought with the marriage of new beer with wood and/or barrel flavors. Beers in this style may or may not have Brettanomyces character. Brewers when entering this category should specify type of barrel and/or wood used and any other special treatment or ingredients used. Competition managers may create style subcategories to differentiate between high alcohol and low alcohol beers and very dark and lighter colored beer as well as for fruit beers and non-fruit beers. Competitions may develop guidelines requesting brewers to specify what kind of wood (new or used oak, other wood varieties) and/or barrel (whiskey, port, sherry, wine, etc.) was used in the process. The brewer may be asked to explain the special nature (wood used, base beer style(s) and achieved character) of the beer.",,,,,,,,,,2012-03-21 20:06:46,2015-04-07 15:46:27,28,8,8,Tulip,2012-01-03 02:41:33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
