id,name,nameDisplay,description,abv,ibu,availableId,styleId,isOrganic,labels/icon,labels/medium,labels/large,status,statusDisplay,createDate,updateDate,available/id,available/name,available/description,style/id,style/categoryId,style/category/id,style/category/name,style/category/createDate,style/name,style/shortName,style/description,style/ibuMin,style/ibuMax,style/abvMin,style/abvMax,style/srmMin,style/srmMax,style/ogMin,style/fgMin,style/fgMax,style/createDate,style/updateDate,glasswareId,glass/id,glass/name,glass/createDate,year,foodPairings,servingTemperature,servingTemperatureDisplay,srmId,srm/id,srm/name,srm/hex,originalGravity,style/ogMax
LTW1iI,369’ Stout,369’ Stout,"Our 369′ Stout takes its name from Flathead Lake itself – its deepest point. It was developed after our award-winning Mutiny Stout. Creamy, malty, and full-bodied with a hint of crisp bitterness. Sometimes served on Nitro, making it creamier and more full-bodied. Oats, caramel, chocolate, and roasted malts give our Stout its deep, dark color and pronounced roasted flavor. Montana grown 2-row pale, caramel, chocolate, oats, and roasted barley malts. Simcoe and Cascade hops.

AWARDS: 2006 World Beer Cup- Silver Medal, American Stout",7.5,43,4,42,N,https://s3.amazonaws.com/brewerydbapi/beer/LTW1iI/upload_bZD18Q-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/LTW1iI/upload_bZD18Q-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/LTW1iI/upload_bZD18Q-large.png,verified,Verified,2015-11-05 00:28:17,2015-12-18 06:12:06,4,Seasonal,"Available at the same time of year, every year.",42,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style Stout,American Stout,"Initial low to medium malt sweetness with a degree of caramel, chocolate and/or roasted coffee flavor with a distinctive dryroasted bitterness in the finish. Coffee-like roasted barley and roasted malt aromas are prominent. Some slight roasted malt acidity is permissible and a medium- to full-bodied mouthfeel is appropriate. Hop bitterness may be moderate to high. Hop aroma and flavor is moderate to high, often with American citrus-type and/or resiny hop character. The perception of fruity esters is low. Roasted malt/barley astringency may be low but not excessive. Diacetyl (butterscotch) should be negligible or not perceived. Head retention is excellent.",35,60,5.7,8.8,40,40,1.05,1.01,1.022,2012-03-21 20:06:46,2015-04-07 15:28:43,,,,,,,,,,,,,,
iwjjUw,3767 Belgian-style IPA with Brettanomyces,3767 Belgian-style IPA with Brettanomyces,"The extensive distance between two breweries on the West Coast – 3767 miles – is bridged by this collaboration beer. Brewers Gabe Fletcher of Midnight Sun Brewing Company [Anchorage, AK] and Colby Chandler of Ballast Point Brewing Company [San Diego, CA] designed and brewed an exciting representation of their passions: hops, Belgian yeast, oak aging and Brettanomyces.

Just prior to the Great Alaska Beer & Barley Wine Fest in JAN 2009, Gabe and Colby brewed a West Coast-worthy IPA at Midnight Sun Brewing Company. This hop-centric beer became the jumping-off point for other intense flavors. During its course to completion, 3767 was affected by three different yeast strains--including Brettanomyces, aged for several months in French oak Cabernet Sauvignon barrels, and then bottle- and keg-conditioned.

The plan is for 3767 to hit Anchorage, Seattle, Portland, San Francisco and San Diego in NOV 2009 for a West Coast Toast. Here’s to the collaborative spirit readily found in our brewing industry. Clink!",8,70,2,70,N,https://s3.amazonaws.com/brewerydbapi/beer/iwjjUw/upload_grX8FJ-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/iwjjUw/upload_grX8FJ-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/iwjjUw/upload_grX8FJ-large.png,verified,Verified,2012-01-03 02:42:37,2015-12-16 05:43:29,2,Limited,Limited availability.,70,5,5,Belgian And French Origin Ales,2012-03-21 20:06:46,Other Belgian-Style Ales,Belgian Ale,"Recognizing the uniqueness and traditions of several other styles of Belgian Ales, the beers entered in this category will be assessed on the merits that they do not fit existing style guidelines and information that the brewer provides explaining the history and tradition of the style. Balance of character is a key component when assessing these beers. Barrel or wood-aged entries in competitions may be directed to other categories by competition director. In competitions the brewer must provide the historical or regional tradition of the style, or his interpretation of the style, in order to be assessed properly by the judges.",,,,,,,,,,2012-03-21 20:06:46,2015-04-07 15:33:05,5,5,Pint,2012-01-03 02:41:33,,,,,,,,,,
OxPAHz,3:30 Amber Ale,3:30 Amber Ale,,5,35,,32,N,https://s3.amazonaws.com/brewerydbapi/beer/OxPAHz/upload_1XUJkB-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/OxPAHz/upload_1XUJkB-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/OxPAHz/upload_1XUJkB-large.png,verified,Verified,2015-09-30 14:48:04,2016-05-04 21:03:06,,,,32,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style Amber/Red Ale,Amber,"American amber/red ales range from light copper to light brown in color. They are characterized by American-variety hops used to produce the perception of medium hop bitterness, flavor, and medium aroma. Amber ales have medium-high to high maltiness with medium to low caramel character. They should have medium to medium-high body. The style may have low levels of fruityester flavor and aroma. Diacetyl can be either absent or barely perceived at very low levels. Chill haze is allowable at cold temperatures. Slight yeast haze is acceptable for bottle-conditioned products.",30,40,4.5,6,11,18,1.048,1.012,1.018,2012-03-21 20:06:45,2015-04-07 15:26:52,,,,,,,,,,,,,,
QhFtUv,3:33,3:33,The darkest hour of the night consumes you.,,,1,30,N,https://s3.amazonaws.com/brewerydbapi/beer/QhFtUv/upload_VORo4n-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/QhFtUv/upload_VORo4n-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/QhFtUv/upload_VORo4n-large.png,verified,Verified,2014-09-29 19:14:46,2015-12-17 17:39:23,1,Year Round,Available year round as a staple beer.,30,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style India Pale Ale,American IPA,"American-style India pale ales are perceived to have medium-high to intense hop bitterness, flavor and aroma with medium-high alcohol content. The style is further characterized by floral, fruity, citrus-like, piney, resinous, or sulfur-like American-variety hop character. Note that one or more of these American-variety hop characters is the perceived end, but the hop characters may be a result of the skillful use of hops of other national origins. The use of water with high mineral content results in a crisp, dry beer. This pale gold to deep copper-colored ale has a full, flowery hop aroma and may have a strong hop flavor (in addition to the perception of hop bitterness). India pale ales possess medium maltiness which contributes to a medium body. Fruity-ester flavors and aromas are moderate to very strong. Diacetyl can be absent or may be perceived at very low levels. Chill and/or hop haze is allowable at cold temperatures. (English and citrus-like American hops are considered enough of a distinction justifying separate American-style IPA and English-style IPA categories or subcategories. Hops of other origins may be used for bitterness or approximating traditional American or English character. See English-style India Pale Ale",50,70,6.3,7.5,6,14,1.06,1.012,1.018,2012-03-21 20:06:45,2015-04-07 15:26:37,,,,,,,,,,,,,,
353FD5,3Beans,3Beans,"The beans of bygone brewers, united with cacao and coffee, to create a trinity of roasted, rich, and savory flavors.",10,,2,123,N,https://s3.amazonaws.com/brewerydbapi/beer/353FD5/upload_RjMy4Q-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/353FD5/upload_RjMy4Q-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/353FD5/upload_RjMy4Q-large.png,verified,Verified,2012-12-21 13:32:54,2015-12-16 21:04:02,2,Limited,Limited availability.,123,11,11,Hybrid/mixed Beer,2012-03-21 20:06:46,Coffee-Flavored Beer,Coffee Beer,"Coffee beers use coffee in any of its forms other than or in addition to hops to create a distinct (ranging from subtle to intense) character. Under hopping allows coffee to contribute to the flavor profile while not becoming excessively bitter. If this beer is a classic style with coffee flavor, the brewer should specify the classic style.",15,40,2.5,12,8,50,1.03,1.006,1.03,2012-03-21 20:06:46,2015-04-07 15:44:40,,,,,,,,,,,,,,
GTuvcg,3C India Pale Ale,3C India Pale Ale,"Packed full of hop flavor with a lighter malt body, this American IPA showcases Citra, Centennial and Chinook hops. Citrus, Grapefruit and Passionfruit dominate the nose and tongue in this hop bomb. Brewed on a limited basis because of short supply of it's namesake hops.",6.2,70,4,30,N,https://s3.amazonaws.com/brewerydbapi/beer/GTuvcg/upload_KMIzF1-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/GTuvcg/upload_KMIzF1-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/GTuvcg/upload_KMIzF1-large.png,verified,Verified,2013-08-02 23:14:09,2015-12-17 04:58:57,4,Seasonal,"Available at the same time of year, every year.",30,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style India Pale Ale,American IPA,"American-style India pale ales are perceived to have medium-high to intense hop bitterness, flavor and aroma with medium-high alcohol content. The style is further characterized by floral, fruity, citrus-like, piney, resinous, or sulfur-like American-variety hop character. Note that one or more of these American-variety hop characters is the perceived end, but the hop characters may be a result of the skillful use of hops of other national origins. The use of water with high mineral content results in a crisp, dry beer. This pale gold to deep copper-colored ale has a full, flowery hop aroma and may have a strong hop flavor (in addition to the perception of hop bitterness). India pale ales possess medium maltiness which contributes to a medium body. Fruity-ester flavors and aromas are moderate to very strong. Diacetyl can be absent or may be perceived at very low levels. Chill and/or hop haze is allowable at cold temperatures. (English and citrus-like American hops are considered enough of a distinction justifying separate American-style IPA and English-style IPA categories or subcategories. Hops of other origins may be used for bitterness or approximating traditional American or English character. See English-style India Pale Ale",50,70,6.3,7.5,6,14,1.06,1.012,1.018,2012-03-21 20:06:45,2015-04-07 15:26:37,5,5,Pint,2012-01-03 02:41:33,,,,,,,,,,
lMIqTT,3LB. IPA,3LB. IPA,,6,,,30,N,https://s3.amazonaws.com/brewerydbapi/beer/lMIqTT/upload_E866fN-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/lMIqTT/upload_E866fN-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/lMIqTT/upload_E866fN-large.png,verified,Verified,2012-01-03 02:42:37,2015-12-16 12:10:11,,,,30,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style India Pale Ale,American IPA,"American-style India pale ales are perceived to have medium-high to intense hop bitterness, flavor and aroma with medium-high alcohol content. The style is further characterized by floral, fruity, citrus-like, piney, resinous, or sulfur-like American-variety hop character. Note that one or more of these American-variety hop characters is the perceived end, but the hop characters may be a result of the skillful use of hops of other national origins. The use of water with high mineral content results in a crisp, dry beer. This pale gold to deep copper-colored ale has a full, flowery hop aroma and may have a strong hop flavor (in addition to the perception of hop bitterness). India pale ales possess medium maltiness which contributes to a medium body. Fruity-ester flavors and aromas are moderate to very strong. Diacetyl can be absent or may be perceived at very low levels. Chill and/or hop haze is allowable at cold temperatures. (English and citrus-like American hops are considered enough of a distinction justifying separate American-style IPA and English-style IPA categories or subcategories. Hops of other origins may be used for bitterness or approximating traditional American or English character. See English-style India Pale Ale",50,70,6.3,7.5,6,14,1.06,1.012,1.018,2012-03-21 20:06:45,2015-04-07 15:26:37,5,5,Pint,2012-01-03 02:41:33,,,,,,,,,,
mBM8Oz,3R Raspberry Ale,3R Raspberry Ale,"3R Raspberry Ale is an award winning ale with the right balance of fruit flavor and aroma. Made from sorghum, corn extract, natural raspberry puree, orange peel, hops, and yeast. Not overly sweet, the Oregon grown fruit puree creates a beautiful body color with a natural raspberry flavor.",5,,3,119,N,https://s3.amazonaws.com/brewerydbapi/beer/mBM8Oz/upload_GKvfSw-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/mBM8Oz/upload_GKvfSw-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/mBM8Oz/upload_GKvfSw-large.png,verified,Verified,2012-01-03 02:42:37,2015-12-16 08:07:41,3,Not Available,Beer is not available.,119,11,11,Hybrid/mixed Beer,2012-03-21 20:06:46,Fruit Beer,Fruit Beer,"Fruit beers are any beers using fruit or fruit extracts as an adjunct in either, the mash, kettle, primary or secondary fermentation providing obvious (ranging from subtle to intense), yet harmonious, fruit qualities. Fruit qualities should not be overpowered by hop character. If a fruit (such as juniper berry) has an herbal or spice quality, it is more appropriate to consider it in the herb and spice beers category. Acidic bacterial (not wild yeast) fermentation characters may be evident (but not necessary) they would contribute to acidity and enhance fruity balance. Clear or hazy beer is acceptable in appearance. A statement by the brewer explaining what fruits are used is essential in order for fair assessment in competitions. If this beer is a classic style with fruit, the brewer should also specify the classic style.",5,70,2.5,12,5,50,1.03,1.006,1.03,2012-03-21 20:06:46,2015-04-07 15:44:21,5,5,Pint,2012-01-03 02:41:33,,,,,,,,,,
rCsNVR,3rd Aleiversary,3rd Aleiversary (2014),,10,,2,30,N,https://s3.amazonaws.com/brewerydbapi/beer/rCsNVR/upload_At17mY-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/rCsNVR/upload_At17mY-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/rCsNVR/upload_At17mY-large.png,verified,Verified,2014-02-27 13:24:45,2015-12-17 09:54:32,2,Limited,Limited availability.,30,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style India Pale Ale,American IPA,"American-style India pale ales are perceived to have medium-high to intense hop bitterness, flavor and aroma with medium-high alcohol content. The style is further characterized by floral, fruity, citrus-like, piney, resinous, or sulfur-like American-variety hop character. Note that one or more of these American-variety hop characters is the perceived end, but the hop characters may be a result of the skillful use of hops of other national origins. The use of water with high mineral content results in a crisp, dry beer. This pale gold to deep copper-colored ale has a full, flowery hop aroma and may have a strong hop flavor (in addition to the perception of hop bitterness). India pale ales possess medium maltiness which contributes to a medium body. Fruity-ester flavors and aromas are moderate to very strong. Diacetyl can be absent or may be perceived at very low levels. Chill and/or hop haze is allowable at cold temperatures. (English and citrus-like American hops are considered enough of a distinction justifying separate American-style IPA and English-style IPA categories or subcategories. Hops of other origins may be used for bitterness or approximating traditional American or English character. See English-style India Pale Ale",50,70,6.3,7.5,6,14,1.06,1.012,1.018,2012-03-21 20:06:45,2015-04-07 15:26:37,5,5,Pint,2012-01-03 02:41:33,2014,,,,,,,,,
3RwhsF,3rd Anniversary,3rd Anniversary,"WOW, wow what a 3 year phase in our lives!  It's been an amazing journey so far, with all of the hats we've had to wear to get a small business up and running.  Seeing all of you enjoying our beers makes the struggles and late nights so worth it.  So many people to thank for getting us this far: first and foremost our god, our families, our dedicated employees, our investors and our many invaluable volunteers.

Toast to your friends as we toast to ours with this 3rd anniversary beer.",9.5,,,35,N,https://s3.amazonaws.com/brewerydbapi/beer/3RwhsF/upload_L91EEP-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/3RwhsF/upload_L91EEP-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/3RwhsF/upload_L91EEP-large.png,verified,Verified,2013-09-26 22:23:35,2015-12-17 06:11:16,,,,35,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style Wheat Wine Ale,Wheatwine,"American style wheat wines range from gold to deep amber and are brewed with 50% or more wheat malt. They have full body and high residual malty sweetness. Perception of bitterness is moderate to medium -high. Fruity-ester characters are often high and counterbalanced by complexity of alcohols and high alcohol content. Hop aroma and flavor are at low to medium levels. Very low levels of diacetyl may be acceptable. Bready, wheat, honey-like and/or caramel aroma and flavor are often part of the character. Phenolic yeast character, sulfur, and/or sweet corn-like dimethylsulfide (DMS) should not be present. Oxidized, stale and aged characters are not typical of this style. Chill haze is allowable.",45,85,8.4,12,8,15,1.088,1.024,1.032,2012-03-21 20:06:46,2015-04-07 15:27:17,,,,,,,,,,,,,,
