id,name,nameDisplay,abv,availableId,styleId,isOrganic,labels/icon,labels/medium,labels/large,status,statusDisplay,createDate,updateDate,available/id,available/name,available/description,style/id,style/categoryId,style/category/id,style/category/name,style/category/createDate,style/name,style/shortName,style/description,style/ibuMin,style/ibuMax,style/abvMin,style/abvMax,style/srmMin,style/srmMax,style/ogMin,style/fgMin,style/fgMax,style/createDate,style/updateDate,description,ibu,glasswareId,srmId,glass/id,glass/name,glass/createDate,srm/id,srm/name,srm/hex,year,servingTemperature,servingTemperatureDisplay,foodPairings,originalGravity,style/ogMax
o17PR2,4th Year Beer,4th Year Beer,11.5,2,60,N,https://s3.amazonaws.com/brewerydbapi/beer/o17PR2/upload_hMQgSQ-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/o17PR2/upload_hMQgSQ-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/o17PR2/upload_hMQgSQ-large.png,verified,Verified,2014-01-27 12:56:02,2015-12-17 09:17:57,2,Limited,Limited availability.,60,5,5,Belgian And French Origin Ales,2012-03-21 20:06:46,Belgian-Style Quadrupel,Belgian Quad,"Quadrupels or ""Quads"" are characterized by the immense presence of alcohol and balanced flavor, bitterness and aromas. Its color is deep amber to rich chestnut/garnet brown. Often characterized by a mousse-like dense, sometimes amber head will top off a properly poured and served quad. Complex fruity aroma and flavor emerge reminiscent of raisins, dates, figs, grapes, plums often accompanied with a hint of winy character. Caramel, dark sugar and malty sweet flavors and aromas can be intense, not cloying, while complementing fruitiness. Though well attenuated it usually has a full, creamy body. Hop characters do not dominate; low to low-medium bitterness is perceived. Perception of alcohol can be extreme. Clove-like phenolic flavor and aroma should not be evident. Chill haze is acceptable at low serving temperatures. Diacetyl and DMS should not be perceived. Well balanced with savoring/sipping drinkability. Oxidative character if evident in aged Quads should be mild and pleasant.",25,50,9,14,8,20,1.084,1.014,1.02,2012-03-21 20:06:46,2015-04-07 15:33:33,,,,,,,,,,,,,,,,
FcH1ln,5 Barrel Pale Ale,5 Barrel Pale Ale,5.2,1,3,N,https://s3.amazonaws.com/brewerydbapi/beer/FcH1ln/upload_nmDv2p-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/FcH1ln/upload_nmDv2p-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/FcH1ln/upload_nmDv2p-large.png,verified,Verified,2012-01-03 02:42:37,2015-12-15 21:08:16,1,Year Round,Available year round as a staple beer.,3,1,1,British Origin Ales,2012-03-21 20:06:45,Ordinary Bitter,Bitter,"Ordinary bitter is gold to copper colored with medium bitterness, light to medium body, and low to medium residual malt sweetness. Hop flavor and aroma character may be evident at the brewer's discretion. Mild carbonation traditionally characterizes draft-cask versions, but in bottled versions, a slight increase in carbon dioxide content is acceptable. Fruity-ester character and very low diacetyl (butterscotch) character are acceptable in aroma and flavor, but should be minimized in this form of bitter. Chill haze is allowable at cold temperatures. (English and American hop character may be specified in subcategories.)",20,35,3,4.1,5,12,1.033,1.006,1.012,2012-03-21 20:06:45,2015-04-07 15:18:39,"The distinctive hop character of our 5 Barrel Pale Ale is due to the extraction of essential oils from select hops. We treat 5 Barrel Pale Ale to an infusion of fresh whole hop flowers in the Hop Back and the Fermentor, as well as four hop additions during the kettle boil. We like how this gives the beer a fresh, lively flavor and aroma.",36,5,25,5,Pint,2012-01-03 02:41:33,25,25,7B1A00,,,,,,
W2qjo7,5 Beers For 5 Years - Margarita Gose,5 Beers For 5 Years - Margarita Gose,,2,47,N,https://s3.amazonaws.com/brewerydbapi/beer/W2qjo7/upload_O51YU7-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/W2qjo7/upload_O51YU7-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/W2qjo7/upload_O51YU7-large.png,verified,Verified,2014-02-10 12:12:26,2015-12-17 10:15:46,2,Limited,Limited availability.,47,4,4,German Origin Ales,2012-03-21 20:06:46,Leipzig-Style Gose,Leipzig Gose,"Traditional examples of Gose are spontaneously fermented, similarly to Belgian-style gueuze/lambic beers, and should exhibit complexity of acidic, flavor and aroma contributed by introduction of wild yeast and bacteria into the fermentation. A primary difference between Belgian Gueuze and German Gose is that Gose is served at a much younger age. Gose is typically pale gold to pale amber in color and typically contains malted barley, unmalted wheat with some traditional varieties containing oats. Hop character and malt flavors and aromas are negligible. Lemony or other citrus-like qualities are often present in aroma and on the palate. Some versions may have the spicy character of added coriander in aroma and on the palate at low to medium levels. Salt (table salt) character is also traditional in low amounts. Horsey, leathery, earthy aroma and flavors contributed by Brettanomyces yeasts may be evident but have a very low profile, as this beer is not excessively aged. Modern German Gose breweries typically introduce only pure beer yeast strains for fermentation. Low to medium lactic acid character is evident in all examples as sharp, refreshing sourness. Gose is typically enjoyed fresh, carbonated, and cloudy/hazy with yeast character, and may have evidence of continued fermentation activity. Overall complexity of flavors and aromas are sought while maintaining an ideal balance between acidity, yeast-enhanced spice and refreshment is ideal.",10,15,4.4,5.4,3,9,1.036,1.008,1.012,2012-03-21 20:06:46,2015-04-07 17:09:35,,,,,,,,,,,,,,,,
H3Dh7q,5 Beers for 5 Years: Barleywine,5 Beers for 5 Years: Barleywine,,2,34,N,https://s3.amazonaws.com/brewerydbapi/beer/H3Dh7q/upload_AKbuSI-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/H3Dh7q/upload_AKbuSI-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/H3Dh7q/upload_AKbuSI-large.png,verified,Verified,2013-12-17 12:33:22,2015-12-17 08:55:24,2,Limited,Limited availability.,34,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style Barley Wine Ale,American Barleywine,"American style barley wines range from amber to deep copper-garnet in color and have a full body and high residual malty sweetness. Complexity of alcohols and fruity-ester characters are often high and counterbalanced by assertive bitterness and extraordinary alcohol content. Hop aroma and flavor are at medium to very high levels. American type hops are often used but not necessary for this style. Very low levels of diacetyl may be acceptable. A caramel and/or toffee aroma and flavor are often part of the character. Characters indicating oxidation, such as vinous (sometimes sherry-like) aromas and/or flavors, are not generally acceptable in American-style Barley Wine Ale, however if a low level of age-induced oxidation character harmonizes and enhances the overall experience this can be regarded favorably. Chill haze is allowable at cold temperatures.",60,100,8.4,12,11,22,1.09,1.024,1.028,2012-03-21 20:06:46,2015-04-07 15:27:08,,,,,,,,,,,,,,,,
8MZXxY,5 Beers for 5 Years: Florida Weisse,5 Beers for 5 Years: Florida Weisse,,2,114,N,https://s3.amazonaws.com/brewerydbapi/beer/8MZXxY/upload_F91NVu-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/8MZXxY/upload_F91NVu-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/8MZXxY/upload_F91NVu-large.png,verified,Verified,2014-02-10 12:13:08,2015-12-17 08:54:24,2,Limited,Limited availability.,114,11,11,Hybrid/mixed Beer,2012-03-21 20:06:46,Fruit Wheat Ale or Lager with or without Yeast,Fruit Wheat Ale,"This beer can be made using either ale or lager yeast. It can be brewed with 30 to 75 percent malted wheat. Fruit or fruit extracts contribute flavor and/or aroma. Perceived fruit qualities should be authentic and replicate true fruit complexity as much as possible. Color should reflect a degree of fruit's color. Hop rates may be low to medium. Hop characters may be light to moderate in bitterness, flavor and aroma. Fruity-estery aroma and flavor from yeast can be typical but at low levels; however, phenolic, clovelike characteristics should not be perceived. Body should be light to medium in character. Diacetyl should not be perceived. When this style is served with yeast the character should portray a full yeasty mouthfeel and appear hazy to very cloudy. Chill haze is also acceptable. Yeast flavor and aroma should be low to medium but not overpowering the balance and character of malt and hops. Brewer may indicate on the bottle whether the yeast should be intentionally roused or if they prefer that the entry be poured as quietly as possible.",10,35,3.8,5,2,10,1.036,1.004,1.016,2012-03-21 20:06:46,2015-04-07 15:43:55,,,,,,,,,,,,,,,,
R4rORq,5 Gallon Pail Ale,5 Gallon Pail Ale,6,,25,N,https://s3.amazonaws.com/brewerydbapi/beer/R4rORq/upload_yJ9B2H-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/R4rORq/upload_yJ9B2H-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/R4rORq/upload_yJ9B2H-large.png,verified,Verified,2015-03-29 14:58:29,2015-12-18 00:20:39,,,,25,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style Pale Ale,American Pale,"American pale ales range from deep golden to copper in color. The style is characterized by fruity, floral and citrus-like American-variety hop character producing medium to medium-high hop bitterness, flavor, and aroma. Note that the ""traditional"" style of this beer has its origins with certain floral, fruity, citrus-like, piney, resinous, or sulfur-like American hop varietals. One or more of these hop characters is the perceived end, but the perceived hop characters may be a result of the skillful use of hops of other national origins. American pale ales have medium body and low to medium maltiness. Low caramel character is allowable. Fruity-ester flavor and aroma should be moderate to strong. Diacetyl should be absent or present at very low levels. Chill haze is allowable at cold temperatures.",30,42,4.5,5.6,6,14,1.044,1.008,1.014,2012-03-21 20:06:45,2015-04-07 15:25:18,"This American Pale Ale finished w. local Thai & Globe basil is the perfect pizza brew. With big spicy floral hop flavors and aromatics of a good pale ale mixed with the soft herbal note from the basil which brings the beer all together. Beer, garlic notes and Basil…..Pizza All the way!",28,,,,,,,,,,,,,,
tRFIN3,5 Golden Rings,5 Golden Rings (2012),11.5,2,63,N,https://s3.amazonaws.com/brewerydbapi/beer/tRFIN3/upload_2rCvxA-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/tRFIN3/upload_2rCvxA-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/tRFIN3/upload_2rCvxA-large.png,verified,Verified,2012-10-26 10:56:38,2015-12-16 19:48:08,2,Limited,Limited availability.,63,5,5,Belgian And French Origin Ales,2012-03-21 20:06:46,Belgian-Style Pale Strong Ale,Belgian Pale Strong,"Belgian pale strong ales are pale to golden in color with relatively light body for a beer of its alcoholic strength. Often brewed with light colored Belgian ""candy"" sugar, these beers are well attenuated. The perception of hop bitterness is medium-low to medium -high, with hop flavor and aroma also in this range. These beers are highly attenuated and have a perceptively deceiving high alcoholic character-being light to medium bodied rather than full bodied. The intensity of malt character should be low to medium, often surviving along with a complex fruitiness. Very little or no diacetyl is perceived. Herbs and spices are sometimes used to delicately flavor these strong ales. Low levels of phenolic spiciness from yeast byproducts may also be perceived. Chill haze is allowable at cold temperatures.",20,50,7,11,4,10,1.064,1.012,1.024,2012-03-21 20:06:46,2015-04-07 15:32:16,"The fifth verse of our ""Twelve Beres of Christmas"" saga incorporates sweet, cake-like space into a rich and robust golden ale.  Happy Holidays!",,8,,8,Tulip,2012-01-03 02:41:33,,,,2012,,,,,
maOzc2,5 Lizard,5 Lizard,4.3,1,125,N,https://s3.amazonaws.com/brewerydbapi/beer/maOzc2/upload_y0efia-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/maOzc2/upload_y0efia-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/maOzc2/upload_y0efia-large.png,verified,Verified,2012-01-03 02:42:37,2016-05-31 18:32:31,1,Year Round,Available year round as a staple beer.,125,11,11,Hybrid/mixed Beer,2012-03-21 20:06:46,Specialty Beer,Specialty,"These beers are brewed using unusual fermentable sugars, grains and starches that contribute to alcohol content other than, or in addition to, malted barley. Nuts generally have some degree of fermentables, thus beers brewed with nuts would appropriately be entered in this category. The distinctive characters of these special ingredients should be evident either in the aroma, flavor or overall balance of the beer, but not necessarily in overpowering quantities. For example, maple syrup or potatoes would be considered unusual. Rice, corn, or wheat are not considered unusual. Special ingredients must be listed when competing. A statement by the brewer explaining the special nature of the beer, ingredient(s) and achieved character is essential in order for fair assessment in competitions. If this beer is a classic style with some specialty ingredient(s), the brewer should also specify the classic style. Guidelines for competing: Spiced beers using unusual fermentables should be entered in the experimental category. Fruit beers using unusual fermentables should be entered in the fruit beer category.",,100,2.5,25,1,100,1.03,1.006,1.03,2012-03-21 20:06:46,2015-04-07 15:44:53,"5 Lizard is a creamy and refreshing wheat beer with some spicy complexity and light touch of passion fruit for a delicious and slightly exotic flavor.

In Aztec mythology, 5 Lizard (Macuilcuetzpalin) is one of the 5 Gods of Excess (Ahuiateteo) and symbolizes overindulgence and gluttony. 5 Lizard is also considered the deity of dance and sexual desire.

Suggested food pairings include: Ceviche, grilled shrimp, green tamales, crab cakes and Caesar salad.",,5,2,5,Pint,2012-01-03 02:41:33,2,2,FFD878,,cold,Cold - (4-7C/39-45F),,,
2BwhPS,5 Napkin Nut Brown Lager,5 Napkin Nut Brown Lager,,,103,N,https://s3.amazonaws.com/brewerydbapi/beer/2BwhPS/upload_XEAIVe-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/2BwhPS/upload_XEAIVe-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/2BwhPS/upload_XEAIVe-large.png,verified,Verified,2013-01-09 12:27:44,2015-12-17 00:03:45,,,,103,8,8,North American Lager,2012-03-21 20:06:46,American-Style Dark Lager,American Dark Lager,"This beer's malt aroma and flavor are low but notable. Its color ranges from a very deep copper to a deep, dark brown. It has a clean, light body with discreet contributions from caramel and roasted malts. Non-malt adjuncts are often used, and hop rates are low. Hop bitterness is clean and has a short duration of impact. Hop flavor, and aroma are low. Carbonation is high. Fruity esters, diacetyl, and chill haze should not be perceived.",14,20,4,5.5,14,25,1.04,1.008,1.012,2012-03-21 20:06:46,2015-04-07 15:41:42,"Full malt flavor, spicy hop background, clean, crisp finish",,,,,,,,,,,,,,,
QsyRjm,5 O'clock Shadow,5 O'clock Shadow,7.6,,84,N,https://s3.amazonaws.com/brewerydbapi/beer/QsyRjm/upload_Hcfj4S-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/QsyRjm/upload_Hcfj4S-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/QsyRjm/upload_Hcfj4S-large.png,verified,Verified,2012-01-09 19:06:40,2015-12-16 14:01:12,,,,84,7,7,European-germanic Lager,2012-03-21 20:06:46,German-Style Schwarzbier,Schwarzbier,"These very dark brown to black beers have a mild roasted malt character without the associated bitterness. This is not a fullbodied beer, but rather a moderate body gently enhances malt flavor and aroma with low to moderate levels of sweetness. Hop bitterness is low to medium in character. Noble-type hop flavor and aroma should be low but perceptible. There should be no fruity esters. Diacetyl should not be perceived.",22,30,3.8,5,25,30,1.044,1.01,1.016,2012-03-21 20:06:46,2015-04-07 15:37:12,"5 O’Clock Shadow Double Black Lager is brewed in the German Schwarzbier (black beer) tradition. Schwarzbier is to lager what stout or porter is to ale. Like those dark British beers, Schwarzbier has long been considered nourishing and even curative. German doctors often recommend Schwarzbier for nursing mothers. Our Brewmaster, born in Munich, was the beneficiary of just such advice.

We have taken the traditional Schwarzbier, intended to be a “session beer” with typically moderate alcohol, and almost doubled its strength to 7.6% alcohol by volume. We brewed our version with a fine balance of crystal and roasted malts and spiced it with noble hops. We fermented 5 O’Clock Shadow at cold temperatures with a select German lager yeast and cold-conditioned it for over four months to create a velvety smooth wintertime warmer.

This German lager pours a deep brown, almost black color with ruby highlights. It has soft dark chocolate notes with hints of caramel and a light roasty finish.",38,5,40,5,Pint,2012-01-03 02:41:33,40,40,36080A,,,,"5 O’Clock Shadow pairs nicely with hearty, spicy foods. Try it with barbecued, roasted or blackened meats and sausages. Steaks and burgers, especially charred, will taste great. A cheese of choice might be a fine Munster or even a buttery, well-aged cheese. For dessert we suggest a raspberry tart or ginger pear cake.",,
