id,name,nameDisplay,description,abv,availableId,styleId,isOrganic,labels/icon,labels/medium,labels/large,status,statusDisplay,createDate,updateDate,available/id,available/name,available/description,style/id,style/categoryId,style/category/id,style/category/name,style/category/createDate,style/name,style/shortName,style/description,style/ibuMin,style/ibuMax,style/abvMin,style/abvMax,style/srmMin,style/srmMax,style/ogMin,style/fgMin,style/fgMax,style/createDate,style/updateDate,ibu,originalGravity,glasswareId,servingTemperature,servingTemperatureDisplay,glass/id,glass/name,glass/createDate,srmId,srm/id,srm/name,srm/hex,foodPairings,year
jddwJ0,6e Soir,6e Soir,"This beer was specially brewed for Dieu du Ciel’s sixth anniversary. It reflects the tendency of American brewers to push all beer styles to the extremes. This lager is therefore quite strong in alcohol and it has a sharp but delicate bitterness, like all pilsners. The beer is full-bodied and well balanced thanks to the delicate sweet flavours that come through.",8.5,2,98,N,https://s3.amazonaws.com/brewerydbapi/beer/jddwJ0/upload_NCbjdd-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/jddwJ0/upload_NCbjdd-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/jddwJ0/upload_NCbjdd-large.png,verified,Verified,2014-07-23 22:22:39,2015-12-17 16:46:12,2,Limited,Limited availability.,98,8,8,North American Lager,2012-03-21 20:06:46,American-Style Pilsener,American Pilsener,"This classic and unique pre-Prohibition American-style Pilsener is straw to deep gold in color. Hop bitterness, flavor and aroma are medium to high, and use of noble-type hops for flavor and aroma is preferred. Up to 25 percent corn and/or rice in the grist should be used. Malt flavor and aroma are medium. This is a light-medium to medium-bodied beer. Sweet corn-like dimethylsulfide (DMS), fruity esters and American hop-derived citrus flavors or aromas should not be perceived. Diacetyl is not acceptable. There should be no chill haze. Competition organizers may wish to subcategorize this style into rice and corn subcategories.",25,40,5,6,3,6,1.045,1.012,1.018,2012-03-21 20:06:46,2015-04-07 15:40:08,,,,,,,,,,,,,,
epF2KJ,6ixth Sense Ale,6ixth Sense Ale,,8.5,,63,N,https://s3.amazonaws.com/brewerydbapi/beer/epF2KJ/upload_BfVvLu-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/epF2KJ/upload_BfVvLu-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/epF2KJ/upload_BfVvLu-large.png,verified,Verified,2012-01-11 15:47:46,2015-12-16 14:20:09,,,,63,5,5,Belgian And French Origin Ales,2012-03-21 20:06:46,Belgian-Style Pale Strong Ale,Belgian Pale Strong,"Belgian pale strong ales are pale to golden in color with relatively light body for a beer of its alcoholic strength. Often brewed with light colored Belgian ""candy"" sugar, these beers are well attenuated. The perception of hop bitterness is medium-low to medium -high, with hop flavor and aroma also in this range. These beers are highly attenuated and have a perceptively deceiving high alcoholic character-being light to medium bodied rather than full bodied. The intensity of malt character should be low to medium, often surviving along with a complex fruitiness. Very little or no diacetyl is perceived. Herbs and spices are sometimes used to delicately flavor these strong ales. Low levels of phenolic spiciness from yeast byproducts may also be perceived. Chill haze is allowable at cold temperatures.",20,50,7,11,4,10,1.064,1.012,1.024,2012-03-21 20:06:46,2015-04-07 15:32:16,,,,,,,,,,,,,,
aCTXq1,6T's Dortmunder,6T's Dortmunder,"This German lager was first brewed by the ladies of Dragonmead.  Three of them to be exact.  The result is a wonderfully balanced, satisfying and entirely drinkable German lager that goes down easy glass after glass.  This beer is made from Pils, Munich and Caramunich grains with only the noble Hallertauer hop added for a clean finish.",5.3,2,79,N,https://s3.amazonaws.com/brewerydbapi/beer/aCTXq1/upload_thpW1u-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/aCTXq1/upload_thpW1u-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/aCTXq1/upload_thpW1u-large.png,verified,Verified,2014-09-16 15:32:33,2015-12-17 18:10:15,2,Limited,Limited availability.,79,7,7,European-germanic Lager,2012-03-21 20:06:46,Dortmunder / European-Style Export,Dortmunder,"Dortmunder has medium hop bitterness. Hop flavor and aroma from noble hops are perceptible but low. Sweet malt flavor can be low and should not be caramel-like. The color of this style is straw to deep golden. The body will be medium bodied. Fruity esters, chill haze, and diacetyl should not be perceived.",23,29,5,6,3,6,1.048,1.01,1.014,2012-03-21 20:06:46,2015-04-07 15:36:34,30,1.056,,,,,,,,,,,,
Pk65pB,6th Anniversary Barrel-aged Rye Wine,6th Anniversary Barrel-aged Rye Wine,"This Barrel-Aged Rye Wine was brewed to celebrate our sixth year of brewing. Our three brewers each brewed their own recipe, then blended them in the same fermentation tank. We then aged the beer in a mix of Bourbon and Rye-Whiskey barrels. The end result is an uniquely spicy, complex ale with a solid barrel influence.",14,2,135,N,https://s3.amazonaws.com/brewerydbapi/beer/Pk65pB/upload_pXD1io-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/Pk65pB/upload_pXD1io-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/Pk65pB/upload_pXD1io-large.png,verified,Verified,2014-09-10 00:11:29,2015-12-17 16:48:38,2,Limited,Limited availability.,135,11,11,Hybrid/mixed Beer,2012-03-21 20:06:46,Wood- and Barrel-Aged Strong Beer,BBL Aged Strong,"Any strong classic style or unique, experimental style of beer can be wood or barrel-aged for a period of time in a wooden barrel or in contact with wood. This beer is aged with the intention of imparting the particularly unique character of the wood and/or what has previously been in the barrel. New wood character can be characterized as a complex blend of vanillin and unique wood character but wood aged is not necessarily synonymous with imparting wood-flavors. Used sherry, rum, bourbon, scotch, port, wine and other barrels are often used, imparting complexity and uniqueness to beer. Ultimately a balance of flavor, aroma and mouthfeel are sought with the marriage of new beer with wood and/or barrel flavors. Primary character of the beer style may or may not be apparent. Sour wood-aged beer of any color is outlined in other categories. Beers in this style may or may not have Brettanomyces character. The brewer must explain the special nature of the beer to allow for accurate judging. Comments could include: type of wood used (new or old, oak or other wood type), type of barrel used (new, port/ whiskey/ wine/ sherry/ other), base beer style or achieved character. Beer entries not accompanied by this information will be at a disadvantage during judging.",,,,,,,,,,2012-03-21 20:06:46,2015-04-07 15:46:50,,,6,cellar,Cellar - (12-14C/54-57F),6,Snifter,2012-01-03 02:41:33,,,,,,
wHl7sr,6th Seal,6th Seal,"A rich stout with bold accents of chocolate that is enhanced with cacao nibs. Full bodied and inviting with hints of toffee and coffee.
2013 VA Craft Brewers Festival GOLD MEDAL
2014 VA Craft Brewers Festival GOLD MEDAL",7.5,,20,N,https://s3.amazonaws.com/brewerydbapi/beer/wHl7sr/upload_R2my6W-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/wHl7sr/upload_R2my6W-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/wHl7sr/upload_R2my6W-large.png,verified,Verified,2014-07-02 15:44:25,2015-12-17 14:54:44,,,,20,1,1,British Origin Ales,2012-03-21 20:06:45,Sweet or Cream Stout,Sweet Stout,"Sweet stouts, also referred to as cream stouts, have less roasted bitter flavor and a full-bodied mouthfeel. The style can be given more body with milk sugar (lactose) before bottling. Malt sweetness, chocolate, and caramel flavor should dominate the flavor profile and contribute to the aroma. Hops should balance and suppress some of the sweetness without contributing apparent flavor or aroma. The overall impression should be sweet and full-bodied.",15,25,3,6,40,40,1.045,1.012,1.02,2012-03-21 20:06:45,2015-04-07 15:24:41,20,,,,,,,,,,,,,
2rBIQL,7,7,"Part of Magic Numbers, a dreamy small-batch series: 7 is a sour witbier brewed with pineapple and hand-picked spearmint.",4.5,,65,Y,https://s3.amazonaws.com/brewerydbapi/beer/2rBIQL/upload_uQBVQY-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/2rBIQL/upload_uQBVQY-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/2rBIQL/upload_uQBVQY-large.png,verified,Verified,2015-05-20 16:52:53,2015-12-18 01:57:20,,,,65,5,5,Belgian And French Origin Ales,2012-03-21 20:06:46,Belgian-Style White (or Wit) / Belgian-Style Wheat,Witbier,Belgian white ales are very pale in color and are brewed using unmalted wheat and malted barley and are spiced with coriander and orange peel. Coriander and light orange peel aroma should be perceived as such or as an unidentified spiciness. Phenolic spiciness and yeast flavors may be evident at mild levels. These beers are traditionally bottle conditioned and served cloudy. An unfiltered starch and yeast haze should be part of the appearance. The low to medium body should have some degree of creaminess from wheat starch. The style is further characterized by the use of noble-type hops to achieve low hop bitterness and little to no apparent hop flavor. This beer has no diacetyl and a low to medium fruity-ester level. Mild acidity is appropriate.,10,17,4.8,5.2,2,4,1.044,1.006,1.01,2012-03-21 20:06:46,2015-04-07 15:32:30,,,,,,,,,,,,,,
lJeNUG,7 AM,7 AM,,7.5,4,21,N,https://s3.amazonaws.com/brewerydbapi/beer/lJeNUG/upload_qQD95E-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/lJeNUG/upload_qQD95E-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/lJeNUG/upload_qQD95E-large.png,verified,Verified,2014-08-27 15:40:07,2015-12-17 17:21:12,4,Seasonal,"Available at the same time of year, every year.",21,1,1,British Origin Ales,2012-03-21 20:06:45,Oatmeal Stout,Oatmeal Stout,"Oatmeal stouts include oatmeal in their grist, resulting in a pleasant, full flavor and a smooth profile that is rich without being grainy. A roasted malt character which is caramel-like and chocolate-like should be evident - smooth and not bitter. Coffee-like roasted barley and roasted malt aromas (chocolate and nut-like) are prominent. Color is dark brown to black. Bitterness is moderate, not high. Hop flavor and aroma are optional but should not overpower the overall balance if present. This is a medium- to full- bodied beer, with minimal fruity esters. Diacetyl should be absent or at extremely low levels. Original gravity range and alcohol levels are indicative of English tradition of oatmeal stout.",20,40,3.8,6,20,20,1.038,1.008,1.02,2012-03-21 20:06:45,2015-04-07 15:22:53,29,,,,,,,,28,28,28,6A0E00,,
ot0qVa,7 Century,7 Century,"Originally brewed to celebrate 7 cent’s first birthday.  A 10.5% monster Triple IPA with a tongue stripping, arguably quite unnecessary, 700 theoretical IBU’s! This isn’t a celebration of hops. It’s a hedonistic orgy of hops! We apologise for nothing!",10.5,4,31,N,https://s3.amazonaws.com/brewerydbapi/beer/ot0qVa/upload_NhgyK5-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/ot0qVa/upload_NhgyK5-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/ot0qVa/upload_NhgyK5-large.png,verified,Verified,2015-02-25 18:11:19,2015-12-17 21:29:29,4,Seasonal,"Available at the same time of year, every year.",31,3,3,North American Origin Ales,2012-03-21 20:06:45,Imperial or Double India Pale Ale,Imperial IPA,"Imperial or Double India Pale Ales have intense hop bitterness, flavor and aroma. Alcohol content is medium-high to high and notably evident. They range from deep golden to medium copper in color. The style may use any variety of hops. Though the hop character is intense it's balanced with complex alcohol flavors, moderate to high fruity esters and medium to high malt character. Hop character should be fresh and lively and should not be harsh in quality. The use of large amounts of hops may cause a degree of appropriate hop haze. Imperial or Double India Pale Ales have medium-high to full body. Diacetyl should not be perceived. The intention of this style of beer is to exhibit the fresh and bright character of hops. Oxidative character and aged character should not be present.",65,100,7.5,10.5,5,13,1.075,1.012,1.02,2012-03-21 20:06:45,2015-04-07 15:26:46,700,,,,,,,,,,,,,
Fhw2NF,7 Cities Pilsner,7 Cities Pilsner,"Seven Cities Pilsner, an unfiltered German Pilsner is the first lager style beer to be released by Jackalope Brewing Company.
 It is brewed entirely with noble German Tettnang hops and pours a beautiful light golden color,
 thus we named it after the myth of the Seven Cities of Gold.
 It is a light bodied, refreshing brew with hints of Pilsen malt sweetness,
 and a smooth yet hoppy finish.",5,,98,Y,https://s3.amazonaws.com/brewerydbapi/beer/Fhw2NF/upload_4QscTY-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/Fhw2NF/upload_4QscTY-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/Fhw2NF/upload_4QscTY-large.png,verified,Verified,2015-07-14 20:28:12,2015-12-18 02:20:36,,,,98,8,8,North American Lager,2012-03-21 20:06:46,American-Style Pilsener,American Pilsener,"This classic and unique pre-Prohibition American-style Pilsener is straw to deep gold in color. Hop bitterness, flavor and aroma are medium to high, and use of noble-type hops for flavor and aroma is preferred. Up to 25 percent corn and/or rice in the grist should be used. Malt flavor and aroma are medium. This is a light-medium to medium-bodied beer. Sweet corn-like dimethylsulfide (DMS), fruity esters and American hop-derived citrus flavors or aromas should not be perceived. Diacetyl is not acceptable. There should be no chill haze. Competition organizers may wish to subcategorize this style into rice and corn subcategories.",25,40,5,6,3,6,1.045,1.012,1.018,2012-03-21 20:06:46,2015-04-07 15:40:08,32,,,,,,,,,,,,,
Qm1Ben,7 Hills IPA,7 Hills IPA,"Our first offical take on a true IPA, with an IBU of 85.  This beer has Mosaic, Amarillo and Citra hops, which delivers nice citrusy notes.  We tried to stay true to our German roots, thought - wheat delivers a great mouth feel.  Come tell us how we did. 

Available May - August",5.4,4,30,N,https://s3.amazonaws.com/brewerydbapi/beer/Qm1Ben/upload_Qn1lLM-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/Qm1Ben/upload_Qn1lLM-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/Qm1Ben/upload_Qn1lLM-large.png,verified,Verified,2015-02-15 18:45:03,2015-12-17 22:27:31,4,Seasonal,"Available at the same time of year, every year.",30,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style India Pale Ale,American IPA,"American-style India pale ales are perceived to have medium-high to intense hop bitterness, flavor and aroma with medium-high alcohol content. The style is further characterized by floral, fruity, citrus-like, piney, resinous, or sulfur-like American-variety hop character. Note that one or more of these American-variety hop characters is the perceived end, but the hop characters may be a result of the skillful use of hops of other national origins. The use of water with high mineral content results in a crisp, dry beer. This pale gold to deep copper-colored ale has a full, flowery hop aroma and may have a strong hop flavor (in addition to the perception of hop bitterness). India pale ales possess medium maltiness which contributes to a medium body. Fruity-ester flavors and aromas are moderate to very strong. Diacetyl can be absent or may be perceived at very low levels. Chill and/or hop haze is allowable at cold temperatures. (English and citrus-like American hops are considered enough of a distinction justifying separate American-style IPA and English-style IPA categories or subcategories. Hops of other origins may be used for bitterness or approximating traditional American or English character. See English-style India Pale Ale",50,70,6.3,7.5,6,14,1.06,1.012,1.018,2012-03-21 20:06:45,2015-04-07 15:26:37,85,,,,,,,,,,,,,
