id,name,nameDisplay,description,availableId,styleId,isOrganic,labels/icon,labels/medium,labels/large,status,statusDisplay,createDate,updateDate,available/id,available/name,available/description,style/id,style/categoryId,style/category/id,style/category/name,style/category/createDate,style/name,style/shortName,style/description,style/createDate,style/updateDate,abv,glasswareId,servingTemperature,servingTemperatureDisplay,glass/id,glass/name,glass/createDate,style/ibuMin,style/ibuMax,style/abvMin,style/abvMax,style/srmMin,style/srmMax,style/ogMin,style/fgMin,style/fgMax,ibu,originalGravity,srmId,srm/id,srm/name,srm/hex,year,foodPairings
kP5Bjt,A Barrel Named Phyllis,A Barrel Named Phyllis,"Phyllis is a very special barrel in our Sour Ale Program donated to us by our friends at the Oliver Winery. The inagural batch in Phyllis is a blend of equal amounts of Orchid and Sour Reserve aged on a polite amount of strawberries from Heartland Family Farms. Enjoy the unique development of Phyllis this year with a healthy serving of elote, grilled trout, and marscapone ice cream.",2,136,N,https://s3.amazonaws.com/brewerydbapi/beer/kP5Bjt/upload_37pUxt-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/kP5Bjt/upload_37pUxt-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/kP5Bjt/upload_37pUxt-large.png,verified,Verified,2015-11-12 19:45:21,2015-12-18 05:20:17,2,Limited,Limited availability.,136,11,11,Hybrid/mixed Beer,2012-03-21 20:06:46,Wood- and Barrel-Aged Sour Beer,BBL Aged Sour,"A wood- or barrel-aged sour beer is any lager, ale or hybrid beer, either a traditional style or a unique experimental beer that has been aged for a period of time in a wooden barrel or in contact with wood and has developed a bacterial induced natural acidity. This beer is aged in wood with the intention of introducing the micro flora present in the wood. Sometimes wood aging is intended to impart the particularly unique character of the wood, but wood-aged is not necessarily synonymous with imparting wood-flavors. Wood character can be characterized as a complex blend of vanillin and unique wood character. Wood-derived character can also be characterized by flavors of the product that was in the barrel during prior use. These wood-derived flavors, if present in this style, can be very low in character and barely perceived or evident or assertive as wood-derived flavors. Any degree of woodderived flavors should be in balance with other beer character. Fruit and herb/spiced versions may take on the hue, flavors and aromas of added ingredients.  Usually bacteria and ""wild"" yeasts fermentation contributes complex esters and results in a dry to very dry beer. Ultimately a balance of flavor, aroma and mouthfeel are sought with the marriage of acidity, complex esters, and new beer with wood and/or barrel flavors. Beers in this style may or may not have Brettanomyces character.  Brewers when entering this category should specify type of barrel used and any other special treatment or ingredients used. Competition managers may create style subcategories to differentiate between high alcohol and low alcohol beers and very dark and lighter colored beer as well as for fruit beers and non-fruit beers. Competitions may develop guidelines requesting brewers to specify what kind of wood (new or used oak, other wood varieties). The brewer may be asked to explain the special nature (wood used, base beer style(s) and achieved character) of the beer.",2012-03-21 20:06:46,2015-04-07 15:46:56,,,,,,,,,,,,,,,,,,,,,,,,
WGepX1,A Beer Named Sue,A Beer Named Sue,"This beer is dedicated to Sue Muntner, a wonderful friend and supporter of craft beer in Tampa Bay. We made this beer in a style she championed and loaded it with Prickly Pear. Please enjoy this Florida Weisse in a snifter, the only appropriate glassware for toasting Sue.",2,46,Y,https://s3.amazonaws.com/brewerydbapi/beer/WGepX1/upload_Po3y80-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/WGepX1/upload_Po3y80-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/WGepX1/upload_Po3y80-large.png,verified,Verified,2015-06-22 14:00:36,2015-12-18 02:54:50,2,Limited,Limited availability.,46,4,4,German Origin Ales,2012-03-21 20:06:46,Berliner-Style Weisse (Wheat),Berlinerweisse,"This is very pale in color and the lightest of all the German wheat beers. The unique combination of yeast and lactic acid bacteria fermentation yields a beer that is acidic, highly attenuated, and very light bodied. The carbonation of a Berliner Weisse is high, and hop rates are very low. Clarity may be hazy or cloudy from yeast or chill haze. Hop character should not be perceived. Fruity esters will be evident. No diacetyl should be perceived.",2012-03-21 20:06:46,2015-04-07 15:29:14,3.9,6,cold,Cold - (4-7C/39-45F),6,Snifter,2012-01-03 02:41:33,3,6,2.8,3.4,2,4,1.028,1.004,1.006,,,,,,,,
Wf2DpX,A Big Ail,A Big Ail,,,70,N,https://s3.amazonaws.com/brewerydbapi/beer/Wf2DpX/upload_L8Sw95-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/Wf2DpX/upload_L8Sw95-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/Wf2DpX/upload_L8Sw95-large.png,verified,Verified,2012-06-10 17:05:48,2015-12-16 17:45:59,,,,70,5,5,Belgian And French Origin Ales,2012-03-21 20:06:46,Other Belgian-Style Ales,Belgian Ale,"Recognizing the uniqueness and traditions of several other styles of Belgian Ales, the beers entered in this category will be assessed on the merits that they do not fit existing style guidelines and information that the brewer provides explaining the history and tradition of the style. Balance of character is a key component when assessing these beers. Barrel or wood-aged entries in competitions may be directed to other categories by competition director. In competitions the brewer must provide the historical or regional tradition of the style, or his interpretation of the style, in order to be assessed properly by the judges.",2012-03-21 20:06:46,2015-04-07 15:33:05,8,,,,,,,,,,,,,,,,,,,,,,,
GwmnAn,A Few Shillings Too Many,A Few Shillings Too Many,,4,8,N,https://s3.amazonaws.com/brewerydbapi/beer/GwmnAn/upload_2Q84sV-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/GwmnAn/upload_2Q84sV-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/GwmnAn/upload_2Q84sV-large.png,verified,Verified,2013-01-21 22:46:52,2015-12-16 22:17:15,4,Seasonal,"Available at the same time of year, every year.",8,1,1,British Origin Ales,2012-03-21 20:06:45,Scottish-Style Heavy Ale,Scottish Heavy,"Scottish heavy ale is moderate in strength and dominated by a smooth, sweet maltiness balanced with low, but perceptible, hop bitterness. Hop flavor or aroma should not be perceived. Scottish heavy ale will have a medium degree of malty, caramel-like, soft and chewy character in flavor and mouthfeel. It has medium body, and fruity esters are very low, if evident. Yeast characters such as diacetyl (butterscotch) and sulfuriness are acceptable at very low levels. The color will range from golden amber to deep brown. Bottled versions of this traditional draft beer may contain higher amounts of carbon dioxide than is typical for mildly carbonated draft versions. Chill haze is acceptable at low temperatures. Though there is little evidence suggesting that traditionally made Scottish-style heavy ales exhibited peat smoke character, the current marketplace offers many Scottish-style heavy ales with peat or smoke character present at low to medium levels. Thus a peaty/smoky character may be evident at low to medium levels (ales with medium-high or higher smoke character would be considered a smoke flavored beer and considered in another category). Scottish-style heavy ales may be split into two subcategories: Traditional (no smoke character) and Peated (low level of peat smoke character).",2012-03-21 20:06:45,2015-04-07 15:19:48,12.5,8,cool,Cool - (8-12C/45-54F),8,Tulip,2012-01-03 02:41:33,12,20,3.5,4,10,19,1.035,1.01,1.014,,,,,,,,
nQcotP,A Foolish Wit,A Foolish Wit,"Though a quart of ale is a dish for a king (The Winter’s Tale, Act IV, Scene II), the jester solely craves a kind of wit. And a wit so fitting must be laden with the guile of amchoor (unripe mangoes, dried and ground), the subtle cunning of citrus peels and the smiling bite of exotic spices, so as to illuminate with a slight sting. Enjoy our Belgian style ale, ripe with mischief and tragic deliciousness, and with only the sharpest of tongues, admire truly A Foolish Wit!",2,65,N,https://s3.amazonaws.com/brewerydbapi/beer/nQcotP/upload_EtJBUE-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/nQcotP/upload_EtJBUE-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/nQcotP/upload_EtJBUE-large.png,verified,Verified,2013-05-09 17:37:57,2015-12-17 02:50:03,2,Limited,Limited availability.,65,5,5,Belgian And French Origin Ales,2012-03-21 20:06:46,Belgian-Style White (or Wit) / Belgian-Style Wheat,Witbier,Belgian white ales are very pale in color and are brewed using unmalted wheat and malted barley and are spiced with coriander and orange peel. Coriander and light orange peel aroma should be perceived as such or as an unidentified spiciness. Phenolic spiciness and yeast flavors may be evident at mild levels. These beers are traditionally bottle conditioned and served cloudy. An unfiltered starch and yeast haze should be part of the appearance. The low to medium body should have some degree of creaminess from wheat starch. The style is further characterized by the use of noble-type hops to achieve low hop bitterness and little to no apparent hop flavor. This beer has no diacetyl and a low to medium fruity-ester level. Mild acidity is appropriate.,2012-03-21 20:06:46,2015-04-07 15:32:30,7,9,,,9,Weizen,2012-01-03 02:41:33,10,17,4.8,5.2,2,4,1.044,1.006,1.01,,,,,,,,
Fryyov,A Good Stuffing,A Good Stuffing,,,3,N,https://s3.amazonaws.com/brewerydbapi/beer/Fryyov/upload_N7LYSg-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/Fryyov/upload_N7LYSg-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/Fryyov/upload_N7LYSg-large.png,verified,Verified,2014-04-09 21:47:56,2015-12-17 12:11:27,,,,3,1,1,British Origin Ales,2012-03-21 20:06:45,Ordinary Bitter,Bitter,"Ordinary bitter is gold to copper colored with medium bitterness, light to medium body, and low to medium residual malt sweetness. Hop flavor and aroma character may be evident at the brewer's discretion. Mild carbonation traditionally characterizes draft-cask versions, but in bottled versions, a slight increase in carbon dioxide content is acceptable. Fruity-ester character and very low diacetyl (butterscotch) character are acceptable in aroma and flavor, but should be minimized in this form of bitter. Chill haze is allowable at cold temperatures. (English and American hop character may be specified in subcategories.)",2012-03-21 20:06:45,2015-04-07 15:18:39,4.5,,,,,,,20,35,3,4.1,5,12,1.033,1.006,1.012,,,,,,,,
YMtwxn,A Half Wit in Paradise,A Half Wit in Paradise,"We took a traditional Belgian Wit and added mango, pineapple and coconut. Pouring a hazy, straw color with a lively head, with aroma of mango and a medley of tropical hops. The body starts with hints of pineapple, and rounds out with lingering nutty coconut. While not overwhelming, the hints of flavors and aromatics from the fruit give a refreshing balance to the classic flavors of a Wit. This Half Belgian Wit with half tropical fruits is truly a Half Wit in Paradise!",,65,N,https://s3.amazonaws.com/brewerydbapi/beer/YMtwxn/upload_ah7V41-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/YMtwxn/upload_ah7V41-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/YMtwxn/upload_ah7V41-large.png,verified,Verified,2015-08-16 19:47:37,2015-12-18 05:04:10,,,,65,5,5,Belgian And French Origin Ales,2012-03-21 20:06:46,Belgian-Style White (or Wit) / Belgian-Style Wheat,Witbier,Belgian white ales are very pale in color and are brewed using unmalted wheat and malted barley and are spiced with coriander and orange peel. Coriander and light orange peel aroma should be perceived as such or as an unidentified spiciness. Phenolic spiciness and yeast flavors may be evident at mild levels. These beers are traditionally bottle conditioned and served cloudy. An unfiltered starch and yeast haze should be part of the appearance. The low to medium body should have some degree of creaminess from wheat starch. The style is further characterized by the use of noble-type hops to achieve low hop bitterness and little to no apparent hop flavor. This beer has no diacetyl and a low to medium fruity-ester level. Mild acidity is appropriate.,2012-03-21 20:06:46,2015-04-07 15:32:30,5.3,,,,,,,10,17,4.8,5.2,2,4,1.044,1.006,1.01,,,,,,,,
BlhONN,A Honey of a Saison,A Honey of a Saison,"A Honey of a Saison is a swarm of ﬂavor and a stinger at 11.5% alc./vol. The French Saison yeast produces big, estery, phenolic aromas and flavors, while the Wildflower Honey from Madhava Natural Sweeteners in Longmont, CO, lends a spicy, Sweet aroma with essenceo dried fruits. Champagne Yeast 

IS also used to complete termentation and create a dry finish, and strong malt bill imparts a rich, golden honey color to the ale. A Honey of a Saison is a swarm of ﬂavor and a stinger at 11.5% alc./vol. The French Saison yeast produces big, estery, phenolic aromas and flavors, while the Wildflower Honey from Madhava Natural Sweeteners in Longmont, CO, lends a spicy, Sweet aroma with essenceo dried fruits. Champagne Yeast 

IS also used to complete termentation and create a dry finish, and strong malt bill imparts a rich, golden honey color to the ale.",2,72,N,https://s3.amazonaws.com/brewerydbapi/beer/BlhONN/upload_qJ8paK-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/BlhONN/upload_qJ8paK-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/BlhONN/upload_qJ8paK-large.png,verified,Verified,2012-11-08 12:25:46,2015-12-16 19:41:46,2,Limited,Limited availability.,72,5,5,Belgian And French Origin Ales,2012-03-21 20:06:46,French & Belgian-Style Saison,Saison,"Beers in this category are golden to deep amber in color. There may be quite a variety of characters within this style. Generally: They are light to medium in body. Malt aroma is low to medium-low. Esters are medium to high in  aroma, while, complex alcohols, herbs, spices, low Brettanomyces character and even clove and smoke-like phenolics may or may not be evident in the overall balanced beer. Hop aroma and flavor may be at low to medium levels. Malt flavor is low but provides foundation for the overall balance. Hop bitterness is moderate to moderately assertive. Herb and/or spice flavors, including black pepper-like notes, may or may not be evident. Fruitiness from fermentation is generally in character. A balanced small amount of sour or acidic flavors is acceptable when in balance with other components. Earthy, cellar-like, musty aromas are okay. Diacetyl should not be perceived. Chill or slight yeast haze is okay. Often bottle conditioned with some yeast character and high carbonation. French & Belgian-Style Saison may have Brettanomyces characters that are slightly acidity, fruity, horsey, goaty and/or leather-like.",2012-03-21 20:06:46,2015-04-07 15:34:55,11.5,,,,,,,20,40,4.5,8.5,4,14,1.055,1.004,1.016,,,,,,,,
pimAir,A Hopwork Orange,A Hopwork Orange,An IPA that blends the flavor and aroma of orange peel with a burst of Pacific Northwest Hops,,30,N,https://s3.amazonaws.com/brewerydbapi/beer/pimAir/upload_Yi47my-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/pimAir/upload_Yi47my-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/pimAir/upload_Yi47my-large.png,verified,Verified,2015-03-20 00:54:43,2015-12-17 22:25:19,,,,30,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style India Pale Ale,American IPA,"American-style India pale ales are perceived to have medium-high to intense hop bitterness, flavor and aroma with medium-high alcohol content. The style is further characterized by floral, fruity, citrus-like, piney, resinous, or sulfur-like American-variety hop character. Note that one or more of these American-variety hop characters is the perceived end, but the hop characters may be a result of the skillful use of hops of other national origins. The use of water with high mineral content results in a crisp, dry beer. This pale gold to deep copper-colored ale has a full, flowery hop aroma and may have a strong hop flavor (in addition to the perception of hop bitterness). India pale ales possess medium maltiness which contributes to a medium body. Fruity-ester flavors and aromas are moderate to very strong. Diacetyl can be absent or may be perceived at very low levels. Chill and/or hop haze is allowable at cold temperatures. (English and citrus-like American hops are considered enough of a distinction justifying separate American-style IPA and English-style IPA categories or subcategories. Hops of other origins may be used for bitterness or approximating traditional American or English character. See English-style India Pale Ale",2012-03-21 20:06:45,2015-04-07 15:26:37,7,,,,,,,50,70,6.3,7.5,6,14,1.06,1.012,1.018,65,1.069,,,,,,
ip5ioo,A Little Crazy,A Little Crazy,"Pilsner malt base provides a nice toasty flavor with hints of caramel and enough fermentable sugar to make this a rather substantial beer.  Pilsner malt is the base with a little carapils and belgian caramunich.  Hops in brewhouse are magnum,cascade and citra with a dryhop blend of citra and cascade. This drives home the aromas of fresh citrus rind to make this a very drinkable and extremely aromatic Belgian American Pale Ale.",4,62,N,https://s3.amazonaws.com/brewerydbapi/beer/ip5ioo/upload_tqp1HN-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/ip5ioo/upload_tqp1HN-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/ip5ioo/upload_tqp1HN-large.png,verified,Verified,2012-08-10 17:09:20,2016-04-04 19:16:45,4,Seasonal,"Available at the same time of year, every year.",62,5,5,Belgian And French Origin Ales,2012-03-21 20:06:46,Belgian-Style Pale Ale,Belgian Pale,"Belgian-style pale ales are characterized by low but noticeable hop bitterness, flavor, and aroma. Light to medium body and low malt aroma are typical. They are light amber to deep amber in color. Noble-type hops are commonly used. Low to medium fruity esters are evident in aroma and flavor. Low levels of phenolic spiciness from yeast byproducts may be perceived. Low caramel or toasted malt flavor is okay. Diacetyl should not be perceived. Chill haze is allowable at cold temperatures.",2012-03-21 20:06:46,2015-04-07 15:32:06,6.8,8,,,8,Tulip,2012-01-03 02:41:33,20,30,4,6,6,12,1.044,1.008,1.014,,,13,13,13,CB6200,,
